Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
Elemental HERO Gaia	CT08	ElementalHEROGaia1	Warrior/Fusion/Effect	Earth	6	2200	2600			1 "Elemental HERO" monster + 1 EARTH monster. Must be Fusion Summoned and cannot be Special Summoned by other ways. When this card is Fusion Summoned: Target 1 face-up monster your opponent controls; until the End Phase, its ATK is halved and this card gains the same amount of ATK.
Battle Waltz	DP10	BattleWaltz1	Normal Spell							Select 1 face-up Synchro Monster you control. Special Summon 1 "Waltz Token" with the same Type, Attribute, Level, ATK and DEF as that monster. Players take no Battle Damage from battles involving this Token.
Big One Warrior	DP10	BigOneWarrior	Warrior/Effect	Light	1	100	600			During your Main Phase, you can send 1 Level 1 monster, except this card, from your hand to the Graveyard to Special Summon this card from your hand.
Boost Warrior	DP10	BoostWarrior	Warrior/Effect	Fire	1	300	200			If you control a face-up Tuner monster, you can Special Summon this card from your hand in face-up Defense Position. All Warrior-Type monsters you control gain 300 ATK.
Bri Synchron	DP10	BriSynchron	Machine/Tuner	Earth	4	1500	1100			If this card is sent to the Graveyard as a Synchro Material Monster, until the End Phase of this turn, the Synchro Monster that used this card as a Synchro Material Monster gains 600 ATK but its effects are negated.
Card of Sacrifice	DP10	CardofSacrifice	Normal Trap							Draw 2 cards, if the combined ATK of all your face-up Attack Position monsters (minimum 2) is less than the ATK of your opponent's face-up monster with the lowest ATK. You cannot Summon or change Battle Position the turn you activate this card.
Justice Bringer	DP10	JusticeBringer	Warrior/Effect	Earth	4	1700	1000			Once per turn, when a Special Summoned monster your opponent controls activates its effect, you can negate the activation.
Synchro Gift	DP10	SynchroGift	Normal Spell							Select 2 face-up monsters you control (1 Synchro Monster and 1 non-Synchro monster). Until the End Phase of this turn, reduce the ATK of the Synchro Monster to 0, and the other monster gains ATK equal to the Synchro Monster's original ATK.
Synchro Material	DP10	SynchroMaterial	Normal Trap							Select 1 face-up monster your opponent controls. If you Synchro Summon this turn, you can use the selected monster as a Synchro Material Monster. You cannot conduct your Battle Phase during the turn you activate this card.
Black Feather Beacon	DP11	BlackFeatherBeacon	Normal Trap							Activate only when you take damage by a card effect. Special Summon 1 Level 4 or lower "Blackwing" monster from your hand.
Black Return	DP11	BlackReturn	Normal Trap							Activate only when exactly 1 "Blackwing" monster is Special Summoned, by selecting 1 face-up monster your opponent controls. Gain Life Points equal to the ATK of that monster, and return it to the hand.
