Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
A/D Changer	DREV	ADChanger	Warrior/Effect	Light	1	100	100			You can remove from play this card in your Graveyard to select 1 monster on the field. Change its battle position.
Acid Trap Hole	SDMA	AcidTrapHole2	Normal Trap							Target 1 face-down Defense Position monster on the field; flip it face-up, then destroy it if its DEF is 2000 or less, or return it face-down if its DEF is more than 2000.
Advance Draw	DP09	advancedraw	Normal Spell							Tribute 1 face-up Level 8 or higher monster you control. Draw 2 cards.
Advance Force	ABPF	AdvanceForce	Continuous Spell							You can Tribute 1 Level 5 or higher monster to Tribute Summon a Level 7 or higher monster.
Advanced Ritual Art	TU04	AdvancedRitualArt	Ritual Spell						A2/T2	Select 1 Ritual Monster in your hand. Send Normal Monsters from your Deck to the Graveyard whose total Levels are equal to that Ritual Monster's. Ritual Summon a card with the name of the selected Ritual Monster from your hand.
Aegis of Gaia	GLD3	AegisofGaia1	Continuous Trap							Gain 3000 Life Points. If this face-up card is removed from the field, take 3000 damage.
Akz, the Pumer	TSHD	AkzthePumer	Beast-Warrior/Effect	Earth	6	1500	1000			This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from play 2 Beast-Warrior-Type monsters in your Graveyard. Once per turn, you can discard 1 Beast-Warrior-Type monster from your hand to activate 1 of the following effects:  Double this card's ATK until the End Phase  OR This card can attack your opponent directly this turn.
Alchemist of Black Spells	ABPF	AlchemistofBlackSpells	Spellcaster/Effect	Wind	4	1200	1800			Once per turn, you can change this face-up Attack Position card you control to face-up Defense Position and place 1 Spell Counter on a face-up card you control that you can place a Spell Counter on.
Alien Brain	ABPF	AlienBrain	Normal Trap							Activate only when a Reptile-Type monster you control is destroyed by battle with an opponent's attacking monster and sent to the Graveyard. Take control of the attacking monster, and treat it as a Reptile-Type monster.
Allure of Darkness	SDMA	AllureofDarkness	Normal Spell						A1/T1	Draw 2 cards, then remove from play 1 DARK monster from your hand. If you don't have any DARK monsters in your hand to remove, send all cards in your hand to the Graveyard.
Ally Mind	HA02	AllyMind	Machine/Tuner	Dark	5	1800	1400			A high-performance unit developed to enhance the Artificial Intelligence program in Allies of Justice. Loaded with elements collected from a meteor from the Worm Nebula, it allows for high tuning performance, but its true capacity is not yet uncovered.
Ally Salvo	STBL	AllySalvo	Machine/Effect	Dark	2	400	300			When this card is destroyed by battle with a LIGHT monster and sent to the Graveyard, select 2 cards on the field and destroy them.
Ally of Justice Core Destroyer	TSHD	AllyofJusticeCoreDestroyer	Machine/Effect	Dark	3	1200	200			If this card attacks or is attacked by a LIGHT monster, destroy that monster at the start of the Damage Step (without damage calculation).
Ally of Justice Cosmic Gateway	HA02	AllyofJusticeCosmicGateway	Machine/Effect	Dark	8	2400	1200			If your opponent controls 2 or more monsters, including a LIGHT monster, you can Special Summon this card from your hand.
Ally of Justice Cycle Reader	HA03	AllyofJusticeCycleReader	Machine/Tuner	Dark	3	1000	1000			During either player's turn, you can discard this card to select and remove from play up to 2 LIGHT monsters from your opponent's Graveyard.
Ally of Justice Cyclone Creator	DREV	AllyofJusticeCycloneCreator	Machine/Tuner	Dark	3	1400	1200			Once per turn, you can discard 1 card from your hand to return Spell/Trap Cards from the field to the hand equal to the number of face-up Tuner monsters on the field.
Ally of Justice Decisive Armor	HA03	AllyofJusticeDecisiveArmor	Machine/Synchro/Effect	Dark	10	3300	3300			1 Tuner + 2 or more non-Tuner monsters. Once per turn, if your opponent controls a face-up LIGHT monster(s), you can activate 1 of these effects: Select 1 Set card your opponent controls and destroy it OR Send 1 card from your hand to the Graveyard to destroy all Spell/Trap Cards your opponent controls OR Send all cards in your hand to the Graveyard to look at your opponent's hand and send all LIGHT monsters in their hand to the Graveyard. Then, inflict damage to your opponent equal to the total ATK of the opponent's monsters sent to the Graveyard.
Ally of Justice Enemy Catcher	HA02	AllyofJusticeEnemyCatcher	Machine/Effect	Dark	6	1800	1800			When this card is Normal Summoned, you can gain control of 1 face-down Defense Position monster your opponent controls until the End Phase.
Ally of Justice Field Marshal	HA02	AllyofJusticeFieldMarshal	Machine/Synchro/Effect	Dark	9	2900	2600			1 Tuner + 2 or more non-Tuner monsters. This card cannot be Special Summoned except by Synchro Summon. When this card destroys a face-down Defense Position monster by battle and sends it to the Graveyard, draw 1 card.
Ally of Justice Light Gazer	TSHD	AllyofJusticeLightGazer	Machine/Synchro/Effect	Dark	8	2400	1600			This card gains 200 ATK for each LIGHT monster in your opponent's Graveyard.
Ally of Justice Nullfier	HA02	AllyofJusticeNullfier	Machine/Effect	Dark	4	1600	1200			The effects of LIGHT monsters that battle this card are negated.
Ally of Justice Omni-Weapon	HA03	AllyofJusticeOmniWeapon	Machine/Effect	Dark	5	2200	800			When this card destroys a LIGHT monster by battle and sends it to the Graveyard, draw 1 card. If that card is a Level 4 or lower DARK monster, you can reveal that card to Special Summon it.
Ally of Justice Quarantine	HA03	AllyofJusticeQuarantine	Machine/Effect	Dark	4	1700	1200			Neither player can Special Summon LIGHT monsters.
Ally of Justice Reverse Break	HA02	AllyofJusticeReverseBreak	Machine/Effect	Dark	4	1200	1200			If a face-up LIGHT monster is on the field, destroy this card. If this card attacks a face-down Defense Position monster, destroy that monster immediately with this card's effect without flipping it face-up or applying damage calculation.
Ally of Justice Searcher	HA02	AllyofJusticeSearcher	Machine/Effect	Dark	3	1400	100			Once per turn, you can discard 1 card to flip 1 face-down Defense Position monster your opponent controls to face-up Attack Position. Flip Effects are not activated at that time.
Ally of Justice Thousand Arms	STBL	AllyofJusticeThousandArms	Machine/Effect	Dark	4	1700	0			This card can attack all face-up LIGHT monsters your opponent controls once each. If this card battles a non-LIGHT monster, destroy this card before damage calculation.
Ally of Justice Thunder Armor	HA02	AllyofJusticeThunderArmor	Machine/Effect	Dark	8	2700	2200			This card cannot be Special Summoned. While you control this face-up card, during battle between an attacking "Ally of Justice" monster you control and a Defense Position monster whose DEF is lower than the ATK of the attacking monster, inflict the difference as Battle Damage to your opponent.
Ally of Justice Unknown Crusher	STBL	AllyofJusticeUnknownCrusher	Machine/Effect	Dark	3	1200	800			When this card battles a LIGHT monster, remove that monster from play after damage calculation.
Ally of Justice Unlimiter	HA02	AllyofJusticeUnlimiter	Machine/Effect	Dark	2	600	200			You can Tribute this card to double the original ATK of 1 face-up "Ally of Justice" monster you control until the End Phase.
Amazoness Archer	GLD3	AmazonessArcher	Warrior/Effect	Earth	4	1400	1000			You can Tribute 2 monsters to inflict 1200 damage to your opponent.
Amazoness Archers	GLD3	AmazonessArchers1	Normal Trap							Activate only when your opponent declares an attack while you control an "Amazoness" monster. All monsters your opponent controls are changed to face-up Attack Position (Flip Effects do not activated), and lose 500 ATK as long as they remain face-up on the field. Your opponent must attack with all of their monsters.
Amazoness Blowpiper	GLD3	AmazonessBlowpiper1	Warrior/Effect	Earth	3	800	1500			Select 1 face-up monster your opponent controls during each of your Standby Phases. It loses 500 ATK until the end of this turn.
Amazoness Chain Master	GLD3	AmazonessChainMaster1	Warrior/Effect	Earth	4	1500	1300			When this card is destroyed by battle and sent to the Graveyard, you can pay 1500 Life Points to look at your opponent's hand, select 1 Monster Card in it, and add that card to your hand.
Amazoness Fighter	GLD3	AmazonessFighter1	Warrior/Effect	Earth	4	1500	1300			You take no battle damage from battles involving this card.
Amazoness Fighting Spirit	DREV	AmazonessFightingSpirit	Continuous Spell							If an "Amazoness" monster attacks a monster with higher ATK, the attacking monster gains 1000 ATK during damage calculation only.
Amazoness Heirloom	DREV	AmazonessHeirloom	Equip Spell							Equip only to an "Amazoness" monster. Once per turn, that monster cannot be destroyed by battle. When the equipped monster attacks, after damage calculation, destroy the attack target.
Amazoness Paladin	GLD3	AmazonessPaladin1	Warrior/Effect	Earth	4	1700	300			This card gains 100 ATK for each "Amazoness" monster you control.
Amazoness Queen	DREV	AmazonessQueen	Warrior/Effect	Earth	6	2400	1800			Amazoness monsters you control cannot be destroyed by battle.
Amazoness Sage	DREV	AmazonessSage1	Warrior/Effect	Earth	4	1400	700	L		At the end of the Damage Step, if this card attacked and is still on the field: Target 1 Spell/Trap Card your opponent controls; destroy that target.
