Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
7 Colored Fish	SDJ	7ColoredFish	Fish	Water	4	1800	800			A rare rainbow fish that has never been caught by mortal man.
8-Claws Scorpion	PGD	8ClawsScorpion	Insect/Effect	Dark	2	300	200			Once per turn, you can flip this card into face-down Defense Position. When this card attacks an opponent's face-down Defense Position monster, this card's ATK becomes 2400 during damage calculation only.
A Cat of Ill Omen	PGD	ACatofIllOmen	Beast/Effect	Dark	2	500	300			FLIP: Select 1 Trap Card from your Deck and place it on top of your Deck. If "Necrovalley" is on the field, you can add the selected Trap Card to your hand instead.
A Deal with Dark Ruler	DCR	ADealwithDarkRuler1	Quick-Play Spell							You can only activate this card during a turn in which a Level 8 or higher monster on your side of the field was sent to the Graveyard. Special Summon 1 "Berserk Dragon" from your hand or Deck.
A Feint Plan	LOD	AFeintPlan	Normal Trap							A player cannot attack face-down monsters during this turn.
A Legendary Ocean	LOD	ALegendaryOcean	Field Spell							This card's name is treated as "Umi". Downgrade all WATER monsters in both player's hands and on the field by 1 Level. Increases the ATK and DEF of all WATER monsters by 200 points.
A Man with Wdjat	PGD	AManwithWdjat1	Spellcaster/Effect	Dark	4	1600	1600			When you Normal Summon this card, and during each of your Standby Phases, select 1 Set card on your opponent's side of the field. Pick it up and look at it, then return it to its original position.
A Wingbeat of Giant Dragon	LOD	AWingbeatofGiantDragon	Normal Spell							Return 1 face-up Level 5 or higher Dragon-Type monster you control to its owner's hand and destroy all Spell and Trap Cards.
Acrobat Monkey	DCR	AcrobatMonkey	Machine	Earth	3	1000	1800			An autonomous monkey type robot which was developed with cutting-edge technology. It moves very acrobatically.
Adhesion Trap Hole	MFC	AdhesionTrapHole	Normal Trap							You can only activate this card when your opponent successfully Normal Summons, Flip Summons, or Special Summons a monster. As long as that monster remains face-up on the field, the original ATK of that monster is halved.
After the Struggle	LOD	AftertheStruggle	Normal Spell							This card can only be activated during Main Phase 1. All monsters on both sides of the field that have been involved in damage calculation are destroyed during the End Step of the turn.
Agido	DCR	Agido	Fairy/Effect	Earth	4	1500	1300			When this card is destroyed and sent to the Graveyard as a result of battle, roll a six-sided die. You can special Summon a Fairy-Type monster from your Graveyard whose Level Stars are equal to the number rolled. If the result is 6, you can Special Summon a Level 6 or higher monster.
Airknight Parshath	LOD	AirknightParshath1	Fairy/Effect	Light	5	1900	1400	H		If this card attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. When this card inflicts Battle Damage to your opponent: Draw 1 card.
Aitsu	MFC	Aitsu	Fairy	Fire	5	100	100			He seems to be very unreliable, but he might have incredible potential.
Alpha The Magnet Warrior	DOR	AlphaTheMagnetWarrior1	Rock	Earth	4	1400	1700			Alpha, Beta, and Gamma meld as one to form a powerful monster.
Altar for Tribute	DCR	AltarforTribute	Normal Trap							Select 1 monster on your side of the field and send it to the Graveyard. Gain Life Points by an amount equal to the original ATK of the monster.
Amazoness Archer	LON	AmazonessArcher	Warrior/Effect	Earth	4	1400	1000			You can Tribute 2 monsters to inflict 1200 damage to your opponent.
Amazoness Archers	MFC	AmazonessArchers1	Normal Trap							Activate only when your opponent declares an attack while you control an "Amazoness" monster. All monsters your opponent controls are changed to face-up Attack Position (Flip Effects do not activated), and lose 500 ATK as long as they remain face-up on the field. Your opponent must attack with all of their monsters.
Amazoness Blowpiper	MFC	AmazonessBlowpiper1	Warrior/Effect	Earth	3	800	1500			Select 1 face-up monster your opponent controls during each of your Standby Phases. It loses 500 ATK until the end of this turn.
Amazoness Fighter	MFC	AmazonessFighter1	Warrior/Effect	Earth	4	1500	1300			You take no battle damage from battles involving this card.
Amazoness Paladin	MFC	AmazonessPaladin1	Warrior/Effect	Earth	4	1700	300			This card gains 100 ATK for each "Amazoness" monster you control.
Amazoness Spellcaster	MFC	AmazonessSpellcaster1	Normal Spell							Select 1 face-up "Amazoness" monster you control and 1 face-up monster your opponent controls. Switch the original ATK of these monsters until the end of this turn.
Amazoness Swords Woman	MFC	AmazonessSwordsWoman1	Warrior/Effect	Earth	4	1500	1600			The opponent takes all Battle Damage that you would have taken from a battle involving this card.
Amazoness Tiger	MFC	AmazonessTiger1	Beast/Effect	Earth	4	1100	1500			You can only control 1 "Amazoness Tiger". This card gains 400 ATK for each "Amazoness" monster you control. Your opponent cannot attack another "Amazoness" monster.
