Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
A Feather of the Phoenix	LCYW	AFeatherofthePhoenix1	Normal Spell							Discard 1 card, then target 1 card in your Graveyard; return that target to the top of your Deck.
A Legendary Ocean	SDRE	ALegendaryOcean	Field Spell							This card's name is treated as "Umi". Downgrade all WATER monsters in both player's hands and on the field by 1 Level. Increases the ATK and DEF of all WATER monsters by 200 points.
A Wingbeat of Giant Dragon	SDDC	AWingbeatofGiantDragon	Normal Spell							Return 1 face-up Level 5 or higher Dragon-Type monster you control to its owner's hand and destroy all Spell and Trap Cards.
Absorbing Jar	GAOV	AbsorbingJar	Rock/Effect	Earth	3	600	500			FLIP: Destroy all Set Spell/Trap Cards on the field, then each player draws 1 card for each of the cards they controlled that was destroyed by this effect. You cannot Set any cards this turn.
Abyss Dweller	ABYR	AbyssDweller	Sea Serpent/Xyz/Effect	Water	*4	1700	1400			2 Level 4 monsters. While this card has an Xyz Material attached that was originally WATER, all WATER monsters you control gain 500 ATK. Once per turn, during either player's turn: You can detach 1 Xyz Material from this card; any card effects that activate in your opponent's Graveyard cannot be activated this turn.
Abyss Soldier	SDRE	AbyssSoldier1	Aqua/Effect	Water	4	1800	1300			Once per turn, by discarding 1 WATER monster to the Graveyard, return 1 card on the field to its owner's hand.
Abyss Warrior	ABYR	AbyssWarrior	Aqua/Effect	Water	4	1800	1300			Once per turn: You can discard 1 WATER monster to the Graveyard, then target 1 monster in either player's Graveyard; return that target to either the top or bottom of the Deck.
Abyss-scale of the Kraken	ABYR	AbyssscaleoftheKraken	Equip Spell							Equip only to a "Mermail" monster. It gains 400 ATK. When a monster effect that was activated on your opponent's side of the field resolves, negate that effect, then send this card to the Graveyard.
Abyss-sphere	ABYR	Abysssphere	Continuous Trap							Special Summon 1 "Mermail" monster from your Deck. Its effects are negated. You cannot activate any Spell Cards. When this card leaves the field, destroy that monster. Destroy this card during your opponent's next End Phase after activation.
Abyss-squall	ABYR	Abysssquall	Normal Trap							Target 3 "Mermail" monsters in your Graveyard; Special Summon those targets in face-up Defense Position. Their effects are negated and they cannot declare an attack. Destroy them during the End Phase.
Abyss-strom	ABYR	Abyssstrom	Normal Trap							Send 1 face-up "Umi" you control to the Graveyard; send all Spell and Trap cards on the field to the Graveyard.
Abyssal Kingshark	BP01	AbyssalKingshark1	Fish/Effect	Water	4	1700	600	H		Once per turn, if this card would be destroyed by an effect that does not target it, it is not destroyed.
Achacha Chanbara	ABYR	AchachaChanbara	Warrior/Effect	Fire	3	1400	400			During either player's turn, when a card or effect is activated that will inflict damage when it resolves: You can Special Summon this card from your hand, and if you do, inflict 400 damage to your opponent.
Acid Trap Hole	LCYW	AcidTrapHole2	Normal Trap							Target 1 face-down Defense Position monster on the field; flip it face-up, then destroy it if its DEF is 2000 or less, or return it face-down if its DEF is more than 2000.
Adreus, Keeper of Armageddon	BP01	AdreusKeeperofArmageddon1	Fiend/Xyz/Effect	Dark	*5	2600	1700	X		2 Level 5 monsters. Once per turn: You can detach 1 Xyz Material from this card to target 1 face-up card your opponent controls; destroy it.
Advance Zone	REDU	AdvanceZone	Continuous Spell							Once per turn, during the End Phase of any turn in which you Tribute Summoned a monster(s): You can apply these effects, depending on the number of monsters you Tributed for Tribute Summons this turn. *1 or more: Destroy 1 Set card your opponent controls. *2 or more: Draw 1 card. *3 or more: Add 1 monster from your Graveyard to your hand.
Advanced Dark	REDU	AdvancedDark	Field Spell							All "Crystal Beast" monsters on the field and in the Graveyard become DARK. If "Rainbow Dragon" or "Rainbow Dark Dragon" attacks, negate the effects of the attack target during that Battle Phase. During damage calculation, if a "Crystal Beast" monster you control battles and you would take damage: You can send 1 "Crystal Beast" monster from your Deck to the Graveyard; you take no Battle Damage from that battle.
Advanced Heraldry Art	ABYR	AdvancedHeraldryArt	Normal Spell							Target 2 "Heraldic Beast" monsters in your Graveyard; Special Summon both those targets. Immediately after this card resolves, Xyz Summon 1 Xyz Monster using those 2 monsters only.
Aegis of the Ocean Dragon Lord	SDRE	aegisoftheoceandragonlord	Normal Trap							Until the End Phase of this turn, all face-up level 3 or lower WATER monsters you control cannot be destroyed by battle or by card effects.
Air Armor Ninja	ORCS	AirArmorNinja	Warrior/Effect	Wind	4	1400	1400			When this card is Summoned: You can target 1 face-up "Ninja" monster you control; reduce its Level by 1.
Airknight Parshath	BP01	AirknightParshath1	Fairy/Effect	Light	5	1900	1400	H		If this card attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. When this card inflicts Battle Damage to your opponent: Draw 1 card.
Alchemic Magician	REDU	AlchemicMagician	Spellcaster/Xyz/Effect	Dark	*4	1500	1500			3 Level 4 Spellcaster-Type monsters. This card gains 200 ATK for each Spell Card in your Graveyard. Once per turn, during your End Phase: You can detach 1 Xyz Material from this card and send 1 card from your hand to the Graveyard; choose 1 Spell Card from your Deck, then Set it in your Spell & Trap Card Zone.
Alector, Sovereign of Birds	BP01	AlectorSovereignofBirds1	Winged Beast/Effect	Wind	6	2400	2000	H		If your opponent controls 2 or more face-up monsters of the same Attribute, you can Special Summon this card (from your hand). Once per turn: You can target 1 face-up card on the field; that target's effects are negated during this turn. There can only be 1 face-up "Alector, Sovereign of Birds" on the field.
Alexandrite Dragon	YS12	AlexandriteDragon1	Dragon	Light	4	2000	100			Many of the czars' lost jewels can be found in the scales of this priceless dragon. Its creator remains a mystery, along with how they acquired the imperial treasures. But whosoever finds this dragon has hit the jackpot... whether they know it or not.
Alligator's Sword	TU08	AlligatorsSword	Beast	Earth	4	1500	1200			'ey, dis mighty lissard man can swing his sword so fast, dat it's more dan da speed a sound!
Alligator's Sword Dragon	TU08	AlligatorsSwordDragon	Dragon/Fusion/Effect	Wind	5	1700	1500			Baby Dragon + "Alligator's Sword". This card can attack directly if the only face-up monsters your opponent controls are EARTH, WATER, or FIRE.
Ally of Justice Catastor	TU07	AllyofJusticeCatastor1	Machine/Synchro/Effect	Dark	5	2200	1200			If this card attacks or is attacked by a non-DARK monster, destroy that monster at the start of the Damage Step (without damage calculation).
Alpha The Magnet Warrior	LCYW	AlphaTheMagnetWarrior1	Rock	Earth	4	1400	1700			Alpha, Beta, and Gamma meld as one to form a powerful monster.
Amazoness Sage	BP01	AmazonessSage1	Warrior/Effect	Earth	4	1400	700	L		At the end of the Damage Step, if this card attacked and is still on the field: Target 1 Spell/Trap Card your opponent controls; destroy that target.
Amazoness Trainee	BP01	AmazonessTrainee1	Warrior/Effect	Earth	4	1500	1300	L		Monsters destroyed by battle with this card are returned to the bottom of the Deck instead of going to the Graveyard. If this card destroys an opponent's monster by battle: It gains 200 ATK.
Ambitious Gofer	BP01	AmbitiousGofer1	Fiend/Effect	Dark	6	2400	100	H		Once per turn: You can target up to 2 monsters your opponent controls; your opponent can reveal 1 monster in their hand to negate this card's effect, otherwise destroy those monsters.
Amores of Prophecy	REDU	AmoresofProphecy	Spellcaster/Effect	Earth	3	600	2000			Once per turn: You can reveal 1 "Spellbook" Spell Card in your hand; Special Summon 1 Level 4 or lower Spellcaster-Type monster from your hand.
Ancient City - Rainbow Ruins	RYMP	AncientCityRainbowRuins1	Field Spell							You must have this many "Crystal Beast" cards in your Spell & Trap Card Zone to activate and resolve these effects: *1+: This card cannot be destroyed by a card effects. *2+: Once per turn, you can halve the Battle Damage you take. *3+: When a Spell/Trap Card is activated: You can send 1 "Crystal Beast" monster you control to the Graveyard; negate the activation and destroy it. *4+: Once per turn, during your Main Phase: You can draw 1 card. *5+: Once per turn, during your Main Phase: You can target 1 "Crystal Beast" card in your Spell & Trap Card Zone; Special Summon that target.
Ancient Dragon	GAOV	AncientDragon	Dragon/Effect	Light	4	1400	1300			When this card inflicts Battle Damage to your opponent by a direct attack: You can increase this card's Level by 1 and ATK by 500.
Ancient Gear Golem	BP01	AncientGearGolem2	Machine/Effect	Earth	8	3000	3000			Cannot be Special Summoned. If this card attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. If this card attacks, your opponent cannot activate any Spell/Trap Cards until the end of the Damage Step.
Ancient Gear Knight	BP01	AncientGearKnight1	Machine/Gemini/Effect	Earth	4	1800	500	H		This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is face-up on the field, you can Normal Summon it to have it become an Effect Monster with this effect. *If this card attacks, your opponent cannot activate Spell/Trap Cards until the end of the Damage Step.
Ante	BP01	Ante1	Normal Spell					D		Each Player reveals 1 card from their hand. If one card is higher Level than the other, the card with the lower Level is sent to the Graveyard, and the player who revealed it takes 1000 damage. (Non-Monster Cards are treated as Level 0.)
Ape Fighter	BP01	ApeFighter1	Beast/Effect	Dark	4	1900	1200	H		If this card destroys an opponent's monster by battle: This card gains 300 ATK. If this card does not attack during your turn, the ATK gained from this effect returns to 0 during the End Phase of that turn.
Ape Magician	ABYR	ApeMagician	Beast/Effect	Dark	3	800	1200			Cannot be Special Summoned. Once per turn, if this card is in face-up Attack Position: You can send 1 monster from your hand to the Graveyard to target 1 face-up Defense Position monster your opponent controls; take control of it until the End Phase. It cannot change its battle position this turn.
Aqua Armor Ninja	ORCS	AquaArmorNinja	Warrior/Effect	Water	4	800	1600			When an opponent's monster declares a direct attack, if you have another "Ninja" monster in your Graveyard: You can banish this card from your Graveyard to target the attacking monster; negate that attack.
Aqua Jet	SDRE	AquaJet	Normal Spell							Target 1 face-up Fish, Sea Serpent, or Aqua-Type monster you control; it gains 1000 ATK.
Aqua Madoor	LCYW	AquaMadoor1	Spellcaster	Water	4	1200	2000			A wizard of the waters that conjures a liquid wall to crush any enemies that oppose him.
Aquamirror Cycle	GAOV	AquamirrorCycle	Normal Trap							Target 1 face-up WATER monster you control and 2 WATER monsters in your Graveyard; shuffle the first target into the Deck, and if you do, add the second targets to your hand.
Aquamirror Illusion	HA06	AquamirrorIllusion	Normal Trap							Special Summon 1 "Gishki" Ritual Monster from your hand. It cannot attack, and is returned to the hand during the End Phase.
