Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
Airknight Parshath	BP02	AirknightParshath1	Fairy/Effect	Light	5	1900	1400	H		If this card attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. When this card inflicts Battle Damage to your opponent: Draw 1 card.
Ancient Gear Knight	BP02	AncientGearKnight1	Machine/Gemini/Effect	Earth	4	1800	500	H		This card is treated as a Normal Monster while face-up on the field or in the Graveyard. While this card is face-up on the field, you can Normal Summon it to have it become an Effect Monster with this effect. *If this card attacks, your opponent cannot activate Spell/Trap Cards until the end of the Damage Step.
Ape Fighter	BP02	ApeFighter1	Beast/Effect	Dark	4	1900	1200	H		If this card destroys an opponent's monster by battle: This card gains 300 ATK. If this card does not attack during your turn, the ATK gained from this effect returns to 0 during the End Phase of that turn.
Battle Fader	BP02	BattleFader1	Fiend/Effect	Dark	1	0	0	L		When an opponent's monster declares a direct attack: You can Special Summon this card from your hand, then end the Battle Phase. If this card is Special Summoned with this effect, banish it when it leaves the field.
Bazoo the Soul-Eater	BP02	BazootheSoulEater1	Beast/Effect	Earth	4	1600	900	H		Once per turn: You can banish up to 3 monsters from your Graveyard; this card gains 300 ATK for each, until your opponent's End Phase.
Beast King Barbaros	BP02	BeastKingBarbaros1	Beast-Warrior/Effect	Earth	8	3000	1200	H		You can Normal Summon or Set this card without Tributing, but its original ATK becomes 1900. You can Tribute 3 monsters to Tribute Summon this card. If you do: Destroy all cards your opponent controls.
Big Bang Shot	BP02	BigBangShot1	Equip Spell					D		The equipped monster gains 400 ATK. If the equipped monster attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. When this card leaves the field, banish the equipped monster.
Big Shield Gardna	BP02	BigShieldGardna1	Warrior/Effect	Earth	4	100	2600	L		During either player's turn, when this face-down card (and no other cards) is targeted by a Spell Card: Change this card to face-up Defense Position, and if you do, negate the Spell Card's activation. If this card is attacked, change it to Attack Position at the end of the Damage Step.
Blizzard Dragon	BP02	BlizzardDragon1	Dragon/Effect	Water	4	1800	1000	H		Once per turn: You can target 1 monster your opponent controls; it cannot change its battle position or declare an attack until the opponent's next End Phase.
Book of Moon	BP02	BookofMoon1	Quick-Play Spell					D	A1/T1	Target 1 face-up monster on the field; change that target to face-down Defense Position.
Botanical Lion (Alt Txt 1)	BP02	BotanicalLion2	Plant/Effect	Earth	4	1600	2000			This card gains 300 ATK for each Plant-Type monster you control. Control of this face-up card cannot switch.
