Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
3-Hump Lacooda	DR2	3HumpLacooda	Beast/Effect	Earth	3	500	1500			If there are 3 face-up "3-Hump Lacooda" cards on your side of the field, Tribute 2 of them to draw 3 cards.
7	DR2	7	Continuous Spell							When there are 3 face-up "7" cards on your side of the field, draw 3 cards from your Deck. Then destroy all "7" cards. When this card is sent directly from the field to your Graveyard, increase your Life Points by 700 points.
7 Colored Fish	SD4	7ColoredFish	Fish	Water	4	1800	800			A rare rainbow fish that has never been caught by mortal man.
A Cat of Ill Omen	DR1	ACatofIllOmen	Beast/Effect	Dark	2	500	300			FLIP: Select 1 Trap Card from your Deck and place it on top of your Deck. If "Necrovalley" is on the field, you can add the selected Trap Card to your hand instead.
A Deal with Dark Ruler	DR1	ADealwithDarkRuler1	Quick-Play Spell							You can only activate this card during a turn in which a Level 8 or higher monster on your side of the field was sent to the Graveyard. Special Summon 1 "Berserk Dragon" from your hand or Deck.
A Feather of the Phoenix	FET	AFeatherofthePhoenix1	Normal Spell							Discard 1 card, then target 1 card in your Graveyard; return that target to the top of your Deck.
A Hero Emerges	DR2	AHeroEmerges2	Normal Trap							When an opponent's monster declares attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the Graveyard.
A Legendary Ocean	DB2	ALegendaryOcean	Field Spell							This card's name is treated as "Umi". Downgrade all WATER monsters in both player's hands and on the field by 1 Level. Increases the ATK and DEF of all WATER monsters by 200 points.
A Legendary Ocean	SD4	ALegendaryOcean	Field Spell							This card's name is treated as "Umi". Downgrade all WATER monsters in both player's hands and on the field by 1 Level. Increases the ATK and DEF of all WATER monsters by 200 points.
A Man with Wdjat	DR1	AManwithWdjat1	Spellcaster/Effect	Dark	4	1600	1600			When you Normal Summon this card, and during each of your Standby Phases, select 1 Set card on your opponent's side of the field. Pick it up and look at it, then return it to its original position.
A Rival Appears!	CRV	ARivalAppears!	Normal Trap							Select 1 face-up monster your opponent controls. Special Summon 1 monster from your hand that has the same Level as the selected monster.
A Wingbeat of Giant Dragon	DB2	AWingbeatofGiantDragon	Normal Spell							Return 1 face-up Level 5 or higher Dragon-Type monster you control to its owner's hand and destroy all Spell and Trap Cards.
Abare Ushioni	FET	AbareUshioni1	Beast-Warrior/Effect	Earth	4	1200	1200			Once per turn, you can toss a coin and call it. If you call it right, inflict 1000 damage to your opponent. If you call it wrong, you take 1000 damage.
Absorbing Kid from the Sky	DR2	AbsorbingKidfromtheSky	Fairy/Effect	Light	4	1300	1000			When this card destroys a monster and sends it to the Graveyard as a result of battle, increase your Life Points by the Level of the destroyed monster x 300 points.
Acid Rain	DL8	AcidRain	Normal Spell							Destroy all face-up Machine-Type monsters on the field.
Acrobat Monkey	DR1	AcrobatMonkey	Machine	Earth	3	1000	1800			An autonomous monkey type robot which was developed with cutting-edge technology. It moves very acrobatically.
Adhesion Trap Hole	DR1	AdhesionTrapHole	Normal Trap							You can only activate this card when your opponent successfully Normal Summons, Flip Summons, or Special Summons a monster. As long as that monster remains face-up on the field, the original ATK of that monster is halved.
After the Struggle	DB2	AftertheStruggle	Normal Spell							This card can only be activated during Main Phase 1. All monsters on both sides of the field that have been involved in damage calculation are destroyed during the End Step of the turn.
Agido	DR1	Agido	Fairy/Effect	Earth	4	1500	1300			When this card is destroyed and sent to the Graveyard as a result of battle, roll a six-sided die. You can special Summon a Fairy-Type monster from your Graveyard whose Level Stars are equal to the number rolled. If the result is 6, you can Special Summon a Level 6 or higher monster.
Airknight Parshath	DB2	AirknightParshath1	Fairy/Effect	Light	5	1900	1400	H		If this card attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. When this card inflicts Battle Damage to your opponent: Draw 1 card.
Airknight Parshath	TP6	AirknightParshath1	Fairy/Effect	Light	5	1900	1400	H		If this card attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. When this card inflicts Battle Damage to your opponent: Draw 1 card.
Aitsu	DR1	Aitsu	Fairy	Fire	5	100	100			He seems to be very unreliable, but he might have incredible potential.
Altar for Tribute	DR1	AltarforTribute	Normal Trap							Select 1 monster on your side of the field and send it to the Graveyard. Gain Life Points by an amount equal to the original ATK of the monster.
Amazoness Archers	DR1	AmazonessArchers1	Normal Trap							Activate only when your opponent declares an attack while you control an "Amazoness" monster. All monsters your opponent controls are changed to face-up Attack Position (Flip Effects do not activated), and lose 500 ATK as long as they remain face-up on the field. Your opponent must attack with all of their monsters.
Amazoness Blowpiper	DR1	AmazonessBlowpiper1	Warrior/Effect	Earth	3	800	1500			Select 1 face-up monster your opponent controls during each of your Standby Phases. It loses 500 ATK until the end of this turn.
Amazoness Chain Master	SP1	AmazonessChainMaster1	Warrior/Effect	Earth	4	1500	1300			When this card is destroyed by battle and sent to the Graveyard, you can pay 1500 Life Points to look at your opponent's hand, select 1 Monster Card in it, and add that card to your hand.
Amazoness Fighter	DR1	AmazonessFighter1	Warrior/Effect	Earth	4	1500	1300			You take no battle damage from battles involving this card.
Amazoness Paladin	DR1	AmazonessPaladin1	Warrior/Effect	Earth	4	1700	300			This card gains 100 ATK for each "Amazoness" monster you control.
Amazoness Spellcaster	DR1	AmazonessSpellcaster1	Normal Spell							Select 1 face-up "Amazoness" monster you control and 1 face-up monster your opponent controls. Switch the original ATK of these monsters until the end of this turn.
Amazoness Swords Woman	DR1	AmazonessSwordsWoman1	Warrior/Effect	Earth	4	1500	1600			The opponent takes all Battle Damage that you would have taken from a battle involving this card.
Amazoness Swords Woman	TP7	AmazonessSwordsWoman1	Warrior/Effect	Earth	4	1500	1600			The opponent takes all Battle Damage that you would have taken from a battle involving this card.
Amazoness Tiger	DR1	AmazonessTiger1	Beast/Effect	Earth	4	1100	1500			You can only control 1 "Amazoness Tiger". This card gains 400 ATK for each "Amazoness" monster you control. Your opponent cannot attack another "Amazoness" monster.
Amphibious Bugroth MK-3	DR2	AmphibiousBugrothMK3	Machine/Effect	Water	4	1500	1300			As long as "Umi" remains face-up on the field, this card can attack your opponent directly.
Amphibious Bugroth MK-3	SD4	AmphibiousBugrothMK3	Machine/Effect	Water	4	1500	1300			As long as "Umi" remains face-up on the field, this card can attack your opponent directly.
Amplifier	DR2	Amplifier	Equip Spell							Equip only to "Jinzo". While this card is equipped, the equipped monster's effect does not negate the effects of its controller's Trap Cards. When this card is removed from the field, destroy the equipped monster. This card's activation and effect cannot be negated.
An Owl of Luck	DR1	AnOwlofLuck	Winged Beast/Effect	Wind	2	300	500			FLIP: Select 1 Field Spell Card from your Deck and place it on top of your Deck. If "Necrovalley" is on the field, you can add the selected Field Spell Card to your hand instead.
Ancient Gear Beast	TLM	AncientGearBeast	Machine/Effect	Earth	6	2000	2000			This card cannot be Special Summoned. The effects of your opponent's Effect Monster that this monster destroys as a result of battle are negated. If this card attacks, your opponent cannot activate any Spell or Trap Cards until the end of the Damage Step.
Ancient Gear Golem	TLM	AncientGearGolem2	Machine/Effect	Earth	8	3000	3000			Cannot be Special Summoned. If this card attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. If this card attacks, your opponent cannot activate any Spell/Trap Cards until the end of the Damage Step.
Ancient Gear Soldier	TLM	AncientGearSoldier	Machine/Effect	Earth	4	1300	1300			If this card attacks, your opponent cannot activate any Spell or Trap Cards until the end of the Damage Step.
Ante	DR1	Ante1	Normal Spell					D		Each Player reveals 1 card from their hand. If one card is higher Level than the other, the card with the lower Level is sent to the Graveyard, and the player who revealed it takes 1000 damage. (Non-Monster Cards are treated as Level 0.)
Anti-Aircraft Flower	DR2	AntiAircraftFlower	Plant/Effect	Earth	3	0	1600			By Tributing 1 Insect-Type monster on your side of the field inflict 800 points of damage to your opponent's Life Points.
Anti-Spell	DR1	AntiSpell	Counter Trap							Remove 2 Spell Counters on your side of the field. Negate the activation of a Spell Card and destroy it.
Apprentice Magician	DR1	ApprenticeMagician	Spellcaster/Effect	Dark	2	400	800			When this card is Summoned, put 1 Spell Counter on a face-up card that you can put a Spell Counter on. If this card is destroyed in Battle, you can select 1 Level 2 or lower Spellcaster-Type monster from your Deck and Special Summon it in face-down Defense Position.
Aqua Spirit	DB2	AquaSpirit	Aqua/Effect	Water	4	1600	1200			This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from play 1 WATER monster in your Graveyard. During each of your opponent's Standby Phases, you can change the battle position of 1 of your opponent's face-up Monster Cards. Once changed, the monster must remain in this position for the rest of the turn.
Arcane Archer of the Forest	DR2	ArcaneArcheroftheForest	Warrior/Effect	Earth	3	900	1400			While there is a Plant-Type monster on your side of the field, this card cannot be attacked. By Tributing 1 Plant-Type monster on your side of the field, destroy 1 Spell or Trap Card on the field.
Archfiend Marmot of Nefariousness	TP6	ArchfiendMarmotofNefariousness	Beast	Earth	2	400	600			An air marmot that has a nefarious horn and wings. It attacks by throwing acorns.
Archfiend Soldier	DR1	ArchfiendSoldier1	Fiend	Dark	4	1900	1500	H		An expert at battle who belongs to a crack diabolical unit. He's famous because he always gets the job done.
Archfiend's Oath	DR1	ArchfiendsOath	Continuous Spell							Once per turn you can pay 500 Life Points to declare 1 card name. Pick up the top card from your Deck and if the card name is the one you declared, add it to your hand. If not, send the card you picked up to the Graveyard.
Archfiend's Roar	DR1	ArchfiendsRoar	Normal Trap							Pay 500 Life Points to activate this card. Special Summon 1 Archfiend Monster Card from your Graveyard. This monster cannot be Tributed under any conditions and is destroyed during the End Phase of this turn.
Archlord Zerato	DR2	ArchlordZerato	Fairy/Effect	Light	8	2800	2300			This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing 1 face-up "Warrior of Zera" on your side of the field while "The Sanctuary in the Sky" is on the field. If "The Sanctuary in the Sky" is on your side of the field, by discarding 1 LIGHT Monster Card from your hand to the Graveyard, destroy all monsters on your opponent's side of the field. If "The Sanctuary in the Sky" is not on your side of the field, this effect is not applied.
Armed Changer	EEN	ArmedChanger	Equip Spell							Send 1 Equip Spell Card from your hand to the Graveyard to activate this card. If the equipped monster destroys a monster as a result of battle, the controller of this Equip Card can add 1 monster with ATK equal to or less than the equipped monster from their Graveyard to their hand.
Armed Dragon LV3	SD1	ArmedDragonLV31	Dragon/Effect	Wind	3	1200	900			During your Standby Phase: You can send this face-up card from the field to the Graveyard; Special Summon 1 "Armed Dragon LV5" from your hand or Deck.
Armed Dragon LV5	SD1	ArmedDragonLV51	Dragon/Effect	Wind	5	2400	1700			You can send 1 monster from your hand to the Graveyard to target 1 face-up monster your opponent controls with ATK less than or equal to the sent monster's ATK; destroy that target. During the End Phase, if this card destroyed a monster by battle this turn: You can send this face-up card to the Graveyard; Special Summon 1 "Armed Dragon LV7" from your hand or Deck.
Armed Samurai - Ben Kei	FET	ArmedSamuraiBenKei1	Warrior/Effect	Dark	4	500	800			For each Equip Card equipped to this card, it gains 1 additional attack during each Battle Phase.
Armed Samurai - Ben Kei	SD5	ArmedSamuraiBenKei1	Warrior/Effect	Dark	4	500	800			For each Equip Card equipped to this card, it gains 1 additional attack during each Battle Phase.
Armor Break	DR2	ArmorBreak	Counter Trap							Negate the activation of an Equip Spell card and destroy it.
