Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
A Feather of the Phoenix	DR3	AFeatherofthePhoenix1	Normal Spell							Discard 1 card, then target 1 card in your Graveyard; return that target to the top of your Deck.
A Hero Emerges	DP1	AHeroEmerges2	Normal Trap							When an opponent's monster declares attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the Graveyard.
A-Team Trap Disposal Unit	DR3	ATeamTrapDisposalUnit	Machine/Effect	Fire	2	300	400			This effect may be used during either's players turn. When you opponent activates a Trap Card, Tribute this face-up card to negate the activation of the Trap Card and destroy it.
Abaki	CDIP	Abaki	Fiend/Effect	Fire	4	1700	1100			When this card is destroyed and sent to the Graveyard by battle, both players take 500 damage.
Abare Ushioni	DR3	AbareUshioni1	Beast-Warrior/Effect	Earth	4	1200	1200			Once per turn, you can toss a coin and call it. If you call it right, inflict 1000 damage to your opponent. If you call it wrong, you take 1000 damage.
Absolute End	DR3	AbsoluteEnd	Normal Trap							Activate only during your opponent's turn. This turn, the attacks from your opponent's monsters become direct attacks.
Abyssal Designator	DR3	AbyssalDesignator	Normal Spell							Pay 1000 Life Points. Declare a Type and an Attribute. Your opponent must send 1 monster with both the declared Type and Attribute from their hand or Deck to the Graveyard.
Accumulated Fortune	CDIP	AccumulatedFortune	Normal Trap							Activate only as Chain Link 4 or higher. Draw 2 cards. You cannot activate this card if multiple cards/effects with the same name are in that chain.
Alien Grey	POTD	AlienGrey	Reptile/Effect	Light	2	300	800			FLIP: Place 1 A-Counter on 1 face-up monster on your opponent's side of the field. (If a monster with an A-Counter battles an "Alien" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.) After this card has been flipped face-up, when it is destroyed by battle and sent to the Graveyard, draw 1 card.
Alien Hunter	POTD	AlienHunter	Reptile/Effect	Water	4	1600	800			If this card destroys a monster with an A-Counter by battle, it can attack once again in a row.
Alien Infiltrator	CDIP	AlienInfiltrator	Reptile/Effect	Earth	2	800	500			Once per turn, this card can move to an adjacent unoccupied Monster Card Zone. If no Spell, Trap or Monster Card on your opponent's side of the field is in the same column as this card, it can attack your opponent directly.
Alien Mars	CDIP	AlienMars	Reptile/Effect	Fire	3	1000	1000			The effects of Effect Monsters with A-Counters are negated, except for "Alien Mars".
