Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
Circle of the Fire Kings	SDOK	CircleoftheFireKings	Quick-Play Spell							Target 1 FIRE monster you control and 1 FIRE monster in your Graveyard; destroy that monster you control, and if you do, Special Summon that other monster from your Graveyard. You can only activate 1 "Circle of the Fire Kings" per turn.
Fire King Avatar Barong	SDOK	FireKingAvatarBarong	Beast-Warrior/Effect	Fire	4	1800	200			If a face-up "Fire King" monster you control is destroyed by a card effect (except during the Damage Step): You can Special Summon this card from your hand. During the next Standby Phase after this card was destroyed by a card effect and sent to the Graveyard: Add 1 "Fire King" card from your Deck to your hand, except "Fire King Avatar Barong".
Fire King Avatar Kirin	SDOK	FireKingAvatarKirin	Beast/Effect	Fire	3	1000	200			If a face-up "Fire King" monster you control is destroyed by a card effect (except during the Damage Step): You can Special Summon this card from your hand. If this card is destroyed and sent to the Graveyard: You can send 1 FIRE monster from your Deck to the Graveyard.
Fire King High Avatar Garunix	SDOK	FireKingHighAvatarGarunix	Winged Beast/Effect	Fire	8	2700	1700			During the next Standby Phase after this card was destroyed by a card effect and sent to the Graveyard: Special Summon this card from the Graveyard. When you do: Destroy all other monsters on the field. When this card is destroyed by battle and sent to the Graveyard: You can Special Summon 1 "Fire King" monster from your Deck, except "Fire King High Avatar Garunix".
Onslaught of the Fire Kings	SDOK	OnslaughtoftheFireKings	Normal Spell							If your opponent controls a monster and you control no monsters: Special Summon 1 FIRE Beast, Beast-Warrior, or Winged Beast-Type monster from your Deck. Its effects are negated and it is destroyed during the End Phase. You can only activate 1 "Onslaught of the Fire Kings" per turn.
Regretful Rebirth	TF04	RegretfulRebirth	Normal Trap							Activate only when a monster you control is destroyed by battle and sent to the Graveyard. Special Summon it in Defense Position. The monster Special Summoned by this effect is destroyed during your End Phase.
Warm Worm	TF04	WarmWorm	Insect/Effect	Fire	3	600	1400			If this card is destroyed, send the top 3 cards of your opponent's Deck to the Graveyard.
Worm Bait	TF04	WormBait	Normal Spell							Activate only if you control a face-up Insect-Type monster. Special Summon 2 "Worm Tokens" (Insect-Type/EARTH/Level 1/ATK 0/DEF 0). During a turn you use this effect, you cannot Normal Summon or Special Summon Level 3 or Level 4 monsters.
Tyler the Great Warrior	TYL	TylertheGreatWarrior	Warrior/Effect	Earth	8	3000	1500			This monster cannot be Special Summoned. When this card destroys a monster as a result of battle and sends it to the Graveyard, inflict damage to your opponent's Life Points equal to the ATK of the destroyed monster.
Burning Skull Head	WB01	BurningSkullHead	Zombie/Effect	Fire	3	1000	800			When this card is Special Summoned from your hand, inflict 1000 damage to your opponent. You can remove from play this face-up card you control to return 1 removed from play "Skull Flame" to its owner's Graveyard.
Skull Flame	WB01	SkullFlame	Zombie/Effect	Fire	8	2600	2000			Once per turn, you can Special Summon 1 "Burning Skull Head" from your hand. You cannot conduct your Battle Phase the turn you activate this effect. You can add 1 "Burning Skull Head" from your Graveyard to your hand instead of conducting a normal draw in your Draw Phase.
