Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
A Cell Breeding Device	FOTB	ACellBreedingDevice	Continuous Spell							During each of your Standby Phases, put 1 A-Counter on 1 face-up monster your opponent controls.
A Cell Incubator	GLAS	ACellIncubator	Continuous Spell							Each time an A-Counter(s) is removed from play by a card effect, place 1 A-Counter on this card. When this card is destroyed, distribute the A-Counters on this card among face-up monsters.
A Cell Scatter Burst	STON	ACellScatterBurst	Quick-Play Spell							Select 1 face-up "Alien" monster you control. Destroy it and distribute new A-Counters equal to its level among your opponent's face-up monsters.
A Feather of the Phoenix	CP03	AFeatherofthePhoenix1	Normal Spell							Discard 1 card, then target 1 card in your Graveyard; return that target to the top of your Deck.
A Feather of the Phoenix	YSDS	AFeatherofthePhoenix1	Normal Spell							Discard 1 card, then target 1 card in your Graveyard; return that target to the top of your Deck.
A Rival Appears!	DR04	ARivalAppears!	Normal Trap							Select 1 face-up monster your opponent controls. Special Summon 1 monster from your hand that has the same Level as the selected monster.
A Wingbeat of Giant Dragon	SDRL	AWingbeatofGiantDragon	Normal Spell							Return 1 face-up Level 5 or higher Dragon-Type monster you control to its owner's hand and destroy all Spell and Trap Cards.
Abaki	YSDS	Abaki	Fiend/Effect	Fire	4	1700	1100			When this card is destroyed and sent to the Graveyard by battle, both players take 500 damage.
Abyss Soldier	CP02	AbyssSoldier1	Aqua/Effect	Water	4	1800	1300			Once per turn, by discarding 1 WATER monster to the Graveyard, return 1 card on the field to its owner's hand.
Abyssal Kingshark	TAEV	AbyssalKingshark1	Fish/Effect	Water	4	1700	600	H		Once per turn, if this card would be destroyed by an effect that does not target it, it is not destroyed.
Acid Trap Hole	SOI	AcidTrapHole2	Normal Trap							Target 1 face-down Defense Position monster on the field; flip it face-up, then destroy it if its DEF is 2000 or less, or return it face-down if its DEF is more than 2000.
Acrobat Monkey	YSDS	AcrobatMonkey	Machine	Earth	3	1000	1800			An autonomous monkey type robot which was developed with cutting-edge technology. It moves very acrobatically.
Adhesive Explosive	DR04	AdhesiveExplosive	Machine/Effect	Wind	3	1000	1000			If your opponent's monster attacks this face-down Defense Position card, this card becomes an Equip Card equipped to the attacking monster, without applying damage calculation. Destroy the equipped monster during the Standby Phase of your opponent's next turn.
Adhesive Explosive	SOI	AdhesiveExplosive	Machine/Effect	Wind	3	1000	1000			If your opponent's monster attacks this face-down Defense Position card, this card becomes an Equip Card equipped to the attacking monster, without applying damage calculation. Destroy the equipped monster during the Standby Phase of your opponent's next turn.
Advanced Ritual Art	STON	AdvancedRitualArt	Ritual Spell						A2/T2	Select 1 Ritual Monster in your hand. Send Normal Monsters from your Deck to the Graveyard whose total Levels are equal to that Ritual Monster's. Ritual Summon a card with the name of the selected Ritual Monster from your hand.
Aegis of Gaia	STON	AegisofGaia1	Continuous Trap							Gain 3000 Life Points. If this face-up card is removed from the field, take 3000 damage.
