Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
7 Colored Fish	GLD1	7ColoredFish	Fish	Water	4	1800	800			A rare rainbow fish that has never been caught by mortal man.
8-Claws Scorpion	GLD1	8ClawsScorpion	Insect/Effect	Dark	2	300	200			Once per turn, you can flip this card into face-down Defense Position. When this card attacks an opponent's face-down Defense Position monster, this card's ATK becomes 2400 during damage calculation only.
Acidic Downpour	PTDN	AcidicDownpour	Field Spell							All EARTH monsters lose 500 ATK and gain 400 DEF.
Alchemy Cycle	PTDN	AlchemyCycle	Normal Trap							The original ATK of all face-up monsters you control becomes 0, until the End Phase. Each time a monster that had its original ATK reduced to 0 by this effect is destroyed by battle and sent to the Graveyard, draw 1 card.
All-Out Attacks	PTDN	AllOutAttacks	Continuous Trap							All monsters that are Special Summoned are changed to face-up Attack Position and must attack, if able, during the turn they are Special Summoned.
Allure of Darkness	PTDN	AllureofDarkness	Normal Spell						A1/T1	Draw 2 cards, then remove from play 1 DARK monster from your hand. If you don't have any DARK monsters in your hand to remove, send all cards in your hand to the Graveyard.
Amazon of the Seas	CP05	AmazonoftheSeas	Fish	Water	4	1300	1400			A mermaid who serves as a herald to the Ocean Lord. She protects the sacred domain of Atlantis.
Amazoness Chain Master	DLG1	AmazonessChainMaster1	Warrior/Effect	Earth	4	1500	1300			When this card is destroyed by battle and sent to the Graveyard, you can pay 1500 Life Points to look at your opponent's hand, select 1 Monster Card in it, and add that card to your hand.
Amazoness Chain Master	RP01	AmazonessChainMaster1	Warrior/Effect	Earth	4	1500	1300			When this card is destroyed by battle and sent to the Graveyard, you can pay 1500 Life Points to look at your opponent's hand, select 1 Monster Card in it, and add that card to your hand.
Amplifier	CP06	Amplifier	Equip Spell							Equip only to "Jinzo". While this card is equipped, the equipped monster's effect does not negate the effects of its controller's Trap Cards. When this card is removed from the field, destroy the equipped monster. This card's activation and effect cannot be negated.
Ancient City - Rainbow Ruins	DP07	AncientCityRainbowRuins1	Field Spell							You must have this many "Crystal Beast" cards in your Spell & Trap Card Zone to activate and resolve these effects: *1+: This card cannot be destroyed by a card effects. *2+: Once per turn, you can halve the Battle Damage you take. *3+: When a Spell/Trap Card is activated: You can send 1 "Crystal Beast" monster you control to the Graveyard; negate the activation and destroy it. *4+: Once per turn, during your Main Phase: You can draw 1 card. *5+: Once per turn, during your Main Phase: You can target 1 "Crystal Beast" card in your Spell & Trap Card Zone; Special Summon that target.
Ancient Lamp	DLG1	AncientLamp	Spellcaster/Effect	Wind	3	900	1400			When this face-down Defense Position card is attacked by your opponent's monster, you can make 1 opponent's monster (except the attacking monster) be attacked instead. While this card is face-up on the field, you can Special Summon 1 "La Jinn the Mystical Genie of the Lamp" from your hand.
Ancient Lamp	RP01	AncientLamp	Spellcaster/Effect	Wind	3	900	1400			When this face-down Defense Position card is attacked by your opponent's monster, you can make 1 opponent's monster (except the attacking monster) be attacked instead. While this card is face-up on the field, you can Special Summon 1 "La Jinn the Mystical Genie of the Lamp" from your hand.
Ancient Rules	CP07	AncientRules	Normal Spell							Special Summon 1 Level 5 or higher Normal Monster from your hand.
Angel O7	LODT	AngelO7	Fairy/Effect	Light	7	2500	1500			When this card is Tribute Summoned, it gains the following effect: ? The effects of Effect Monsters cannot be activated.
Anti-Spell Fragrance	CP05	AntiSpellFragrance	Continuous Trap							Both players must Set Spell Cards before activating them, and cannot activate them until their next turn.
Arcana Call	LODT	ArcanaCall	Normal Trap							Select 1 "Arcana Force" monster you control. Remove from play 1 "Arcana Force" monster from either player's Graveyard. Until the End Phase, the selected monster's effect becomes the removed monster's effect for the same coin toss result.
Arcana Force 0 - The Fool	LODT	ArcanaForce0TheFool	Fairy/Effect	Light	1	0	0			This card cannot be destroyed by battle. This card cannot be changed to Defense Position, except with a card effect. When this card is Summoned, toss a coin: ? Heads: Negate the effects of your Spells, Traps, and Effect Monsters' effects that target this card, and destroy them. ? Tails: Negate the effects of your opponent's Spells, Traps, and Effect Monsters' effects that target this card, and destroy them.
Arcana Force Ex - The Dark Ruler	LODT	ArcanaForceExTheDarkRuler	Fairy/Effect	Light	10	4000	4000			This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by sending 3 monsters you control to the Graveyard. When this card is Special Summoned, toss a coin: ? Heads: This card can attack twice during the same Battle Phase. If this card battles twice using this effect, it is changed to Defense Position at the end of the Battle Phase. This card's battle position cannont be changed until the end of your next turn, except with a card effect. ? Tails: If this card is destroyed, destroy all cards on the field.
Arcana Force I - The Magician	LODT	ArcanaForceITheMagician	Fairy/Effect	Light	4	1100	1100			When this card is Summoned, toss a coin: ? Heads: When a Spell Card is activated, this card's ATK becomes double its original ATK until the End Phase of that turn. ? Tails: When a Spell Card is activated, your opponent gains 500 Life Points.
Arcana Force III - The Empress	LODT	ArcanaForceIIITheEmpress	Fairy/Effect	Light	4	1300	1300			When this card is Summoned, toss a coin: ? Heads: Each time your opponent Normal Summons or Sets a monster, you can Special Summon 1 "Arcana Force" Monster from your hand. ? Tails: Each time your opponent Normal Summons or Sets a monster, send 1 card from your hand to the Graveyard.
Arcana Force IV - The Emperor	LODT	ArcanaForceIVTheEmperor	Fairy/Effect	Light	4	1400	1400			When this card is Summoned, toss a coin: ? Heads: All "Arcana Force" Monsters you control gain 500 ATK. ? Tails: All "Arcana Force" Monsters you control lose 500 ATK.
Arcana Force VI - The Lovers	LODT	ArcanaForceVITheLovers	Fairy/Effect	Light	4	1600	1600			When this card is Summoned, toss a coin: ? Heads: This card can be treated as 2 Tributes for the Tribute Summon of an "Arcana Force" monster. ? Tails: You cannot Tribute summon "Arcana Force" monsters.
Arcana Force VII - The Chariot	LODT	ArcanaForceVIITheChariot	Fairy/Effect	Light	4	1700	1700			When this card is Summoned, toss a coin: ? Heads: If this card destroys an opponent's monster by battle, you can Special Summon that monster to your side of the field. ? Tails: Your opponent gains control of this card.
Arcana Force XIV - Temperance	LODT	ArcanaForceXIVTemperance1	Fairy/Effect	Light	6	2400	2400	H		During damage calculation, in either player's turn: You can discard this card; you take no Battle Damage from that battle. When this card is Summoned: Toss a coin and apply this effect. The effect lasts while this card is face-up on the field. *Heads: Halve all Battle Damage you take. *Tails: Halve all Battle Damage your opponent takes.
Arcana Force XVIII - The Moon	LODT	ArcanaForceXVIIITheMoon	Fairy/Effect	Light	7	2800	2800			When this card is Summoned, toss a coin: ? Heads: During your Standby Phase, you can Special Summon 1 "Moon Token" (Fairy-Type/LIGHT/Level 1/ATK 0/DEF 0). ? Tails: During each of your End Phases, select 1 monster you control and give control of it to your opponent.
Arcana Force XXI - The World	LODT	ArcanaForceXXITheWorld	Fairy/Effect	Light	8	3100	3100			When this card is Summoned, toss a coin: ? Heads: During your End Phase, you can send 2 monsters you control to the Graveyard to skip your opponent's next turn. ? Tails: During your opponent's Draw Phase, add the top card of their Graveyard to their hand.
Armageddon Knight	PTDN	ArmageddonKnight	Warrior/Effect	Dark	4	1400	1200			When this card is Summoned, you can send 1 DARK monster from your Deck to the Graveyard.
Armed Ninja	DLG1	ArmedNinja	Warrior/Effect	Earth	1	300	300			FLIP: Select 1 Spell Card on the field and destroy it. If the selected card is Set, pick up and see the card. If it is a Spell Card, it is destroyed. If it is a Trap Card, return it to its original position.
Armed Ninja	RP01	ArmedNinja	Warrior/Effect	Earth	1	300	300			FLIP: Select 1 Spell Card on the field and destroy it. If the selected card is Set, pick up and see the card. If it is a Spell Card, it is destroyed. If it is a Trap Card, return it to its original position.
Armor Breaker	DP06	ArmorBreaker	Warrior/Union/Effect	Earth	3	800	800			Once per turn, you can equip this card to a Warrior-Type monster you control, OR unequip it to Special Summon this card in face-up Attack Position. While equipped to a monster by this effect, when that monster inflicts Battle Damage to your opponent, destroy 1 card on the field. (A monster can only be equipped with 1 Union Monster at a time. If the equipped monster would be destroyed by battle, this card is destroyed instead.)
Armored Cybern	PTDN	ArmoredCybern	Machine/Union/Effect	Wind	4	0	2000			Once per turn, you can equip this card to a "Cyber Dragon" you control, or to a Fusion Monster you control that lists "Cyber Dragon" as a Fusion Material Monster, OR unequip it to Special Summon this card in face-up Attack Position. Once per turn, while equipped to a monster by this effect, you can decrease the equipped monster's ATK by 1000 and destroy 1 face-up monster. (A monster can only be equipped with 1 Union Monster at a time. If the equipped monster would be destroyed, destroy this card instead.)
Athena	PP02	Athena	Fairy/Effect	Light	7	2600	800			Each time a Fairy-Type monster is Summoned, inflict 600 damage to your opponent. Once per turn, you can send 1 Fairy-Type monster you control, except "Athena", to the Graveyard to Special Summon 1 Fairy-Type monster from your Graveyard, except "Athena".
Atlantean Pikeman	5DS1	AtlanteanPikeman	Sea Serpent	Water	2	1400	0			The Great Ocean Lord, who reigns over the depths, is served by these lancers. Deep-sea creatures exist in fear of facing the stream of attacks their lances are capable of.
Atlantean Pikeman	PTDN	AtlanteanPikeman	Sea Serpent	Water	2	1400	0			The Great Ocean Lord, who reigns over the depths, is served by these lancers. Deep-sea creatures exist in fear of facing the stream of attacks their lances are capable of.
Aurkus, Lightsworn Druid	LODT	AurkusLightswornDruid1	Beast-Warrior/Effect	Light	3	1200	1800			"Lightsworn" monsters (everywhere) cannot be targeted by Spells, Traps, or card effects. During each of your End Phases: Send the top 2 cards of your Deck to the Graveyard. You must control this face-up card to activate and to resolve this effect.
Avenging Knight Parshath	TDGS	AvengingKnightParshath	Fairy/Synchro/Effect	Light	8	2600	2100			1 Tuner + 1 or more non-Tuner LIGHT monsters Once per turn, you can change the battle position of 1 face-up monster your opponent controls. During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent.
Axe Raider	5DS1	AxeRaider	Warrior	Earth	4	1700	1150			An axe-wielding monster of tremendous strength and agility.
Axe of Despair	DLG1	AxeofDespair1	Equip Spell					D		The equipped monster gains 1000 ATK. When this card is sent from the field to the Graveyard: You can Tribute 1 monster; return this card to the top of the Deck.
Axe of Despair	RP01	AxeofDespair1	Equip Spell					D		The equipped monster gains 1000 ATK. When this card is sent from the field to the Graveyard: You can Tribute 1 monster; return this card to the top of the Deck.
Aztekipede, the Worm Warrior	PTDN	AztekipedetheWormWarrior	Insect/Effect	Earth	4	1900	400			This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by removing from play 1 Insect-Type monster from your Graveyard. When this card inflicts Battle Damage to your opponent, send the top card of their Deck to the Graveyard.
B. Skull Dragon	DLG1	BSkullDragon	Dragon/Fusion	Dark	9	3200	2500			Summoned Skull + "Red-Eyes B. Dragon"
B. Skull Dragon	RP01	BSkullDragon	Dragon/Fusion	Dark	9	3200	2500			Summoned Skull + "Red-Eyes B. Dragon"
Baby Dragon	DLG1	BabyDragon	Dragon	Wind	3	1200	700			Much more than just a child, this dragon is gifted with untapped power
Baby Dragon	RP01	BabyDragon	Dragon	Wind	3	1200	700			Much more than just a child, this dragon is gifted with untapped power
Backup Soldier	5DS1	BackupSoldier	Normal Trap							Activate only if there are 5 or more monsters in your Graveyard. Add up to 3 non-Effect Monsters with 1500 or less ATK from your Graveyard to your hand.
Bamboo Scrap	CSOC	BambooScrap	Normal Trap							Tribute 1 Plant-Type monster. Special Summon 2 "Plant Tokens" (Plant-Type/EARTH/Level 1/ATK 800/DEF 500) to your opponent's side of the field in Defense Position.
Banisher of the Radiance	SDDE	BanisheroftheRadiance1	Fairy/Effect	Light	3	1600	0			Any card sent to the Graveyard is banished instead.
Barrel Dragon	DLG1	BarrelDragon	Machine/Effect	Dark	7	2600	2200			Toss a coin 3 times. If 2 out of 3 results are Heads, destroy 1 monster on your opponent's side of the Field. This card can only be used during your turn, once per turn.
Barrel Dragon	RP01	BarrelDragon	Machine/Effect	Dark	7	2600	2200			Toss a coin 3 times. If 2 out of 3 results are Heads, destroy 1 monster on your opponent's side of the Field. This card can only be used during your turn, once per turn.
Batteryman AA	CP06	BatterymanAA	Thunder/Effect	Light	3	0	0			If all "Batteryman AA"(s) you control are in Attack Position, this card gains 1000 ATK for each. If all "Batteryman AA"(s) you control are in Defense Position, this card gains 1000 DEF for each.
Batteryman Charger	LODT	BatterymanCharger	Thunder/Effect	Light	5	1800	1200			When this card is Normal Summoned, you can Special Summon 1 "Batteryman" monster, except "Batteryman Charger", from your hand or Deck. This card gains 300 ATK and DEF for each Thunder-Type monster you control.
Batteryman Industrial Strength	LODT	BatterymanIndustrialStrength	Thunder/Effect	Light	8	2600	0			This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by removing from play 2 "Batteryman" monsters from your Graveyard. Once per turn, you can remove from play 1 Thunder-Type monster from your Graveyard to destroy 1 monster and 1 Spell or Trap Card on the field.
Batteryman Micro-Cell	LODT	BatterymanMicroCell	Thunder/Effect	Light	1	100	100			FLIP: Special Summon 1 Level 4 or lower "Batteryman" monster from your Deck, except "Batteryman Micro-Cell". After this card has been flipped face-up, when it is destroyed by battle and sent to the Graveyard, draw 1 card.
Battle Mania	CSOC	BattleMania	Normal Trap							Activate only during your opponent's Standby Phase. All face-up monsters your opponent controls are changed to Attack Position, and cannot change their battle positions this turn. All monsters your opponent currently controls must attack this turn, if able.
Battle Tuned	TDGS	BattleTuned	Quick-Play Spell							Remove from play 1 Tuner monster from your Graveyard. Target face-up monster you control gains ATK equal to the removed monster's ATK.
Bazoo the Soul-Eater	SDDE	BazootheSoulEater1	Beast/Effect	Earth	4	1600	900	H		Once per turn: You can banish up to 3 monsters from your Graveyard; this card gains 300 ATK for each, until your opponent's End Phase.
Beast of the Pharaoh	TDGS	BeastofthePharaoh	Zombie/Effect	Earth	3	400	600			If this card is sent to the Graveyard for a Synchro Summon, you can Special Summon 1 Level 4 or lower Zombie-Type monster from your Graveyard.
Belial - Marquis of Darkness	PTDN	BelialMarquisofDarkness1	Fiend/Effect	Dark	8	2800	2400			Your opponent cannot target any face-up monster you control, except "Belial - Marquis of Darkness", for an attack, or with Spell/Trap effects.
Big Bang Shot	SDDE	BigBangShot1	Equip Spell					D		The equipped monster gains 400 ATK. If the equipped monster attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. When this card leaves the field, banish the equipped monster.
Big Piece Golem	TDGS	BigPieceGolem	Rock/Effect	Earth	5	2100	0			If your opponent controls a monster and you control no monsters, you can Normal Summon this card without Tributing.
Birthright	5DS1	Birthright	Continuous Trap							Select 1 Normal Monster from your Graveyard and Special Summon it in face-up Attack Position. When this card is removed from the field, destroy that monster. When that monster is removed from the field, destroy this card.
Black Garden	CSOC	BlackGarden	Field Spell							When a monster is Normal or Special Summoned, except by the effect of "Black Garden", halve its ATK and Special Summon 1 "Rose Token" (Plant-Type/DARK/Level 2/ATK 800/DEF 800) to its controller's opponent's side of the field, in Attack Position. You can destroy this card and all face-up Plant-Type monsters on the field and Special Summon 1 monster with ATK equal to the total ATK of those monsters from your Graveyard.
Black Illusion Ritual	DLG1	BlackIllusionRitual1	Ritual Spell							This card is used to Ritual Summon "Relinquished". You must also Tribute monsters from the field or your hand whose total Levels equal 1 or more.
Black Illusion Ritual	RP01	BlackIllusionRitual1	Ritual Spell							This card is used to Ritual Summon "Relinquished". You must also Tribute monsters from the field or your hand whose total Levels equal 1 or more.
Black Pendant	DLG1	BlackPendant	Equip Spell							The equipped monster gains 500 ATK. When this card is sent from the field to the Graveyard, inflict 500 damage to your opponent.
Black Pendant	RP01	BlackPendant	Equip Spell							The equipped monster gains 500 ATK. When this card is sent from the field to the Graveyard, inflict 500 damage to your opponent.
Black Rose Dragon	CSOC	BlackRoseDragon	Dragon/Synchro/Effect	Fire	7	2400	1800			1 Tuner + 1 or more non-Tuner monsters When this card is Synchro Summoned, you can destroy all cards on the field. Once per turn, you can remove from play 1 Plant-Type monster from your Graveyard to change 1 monster your opponent controls to face-up Attack Position, and reduce its ATK to 0 until the End Phase.
