Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
4-Starred Ladybug of Doom	RP02	4StarredLadybugofDoom1	Insect/Effect	Wind	3	800	1200			FLIP: Destroy all face-up Level 4 monsters on your opponent's side of the field.
A Legendary Ocean	RP02	ALegendaryOcean	Field Spell							This card's name is treated as "Umi". Downgrade all WATER monsters in both player's hands and on the field by 1 Level. Increases the ATK and DEF of all WATER monsters by 200 points.
A Major Upset	ANPR	amajorupset	Normal Trap							Activate by Tributing 1 face-up Attack Position level 2 or lower monster you control. Return all face-up level 7 or higher monsters on the field that were Special Summoned to their respective hands.
Advance Draw	ANPR	advancedraw	Normal Spell							Tribute 1 face-up Level 8 or higher monster you control. Draw 2 cards.
Aegis of the Ocean Dragon Lord	ANPR	aegisoftheoceandragonlord	Normal Trap							Until the End Phase of this turn, all face-up level 3 or lower WATER monsters you control cannot be destroyed by battle or by card effects.
Against the Wind	RGBT	AgainsttheWind	Normal Spell							Select 1 "Blackwing" monster in your Graveyard. Take damage equal to the ATK of the selected monster, and add it to your hand.
Airknight Parshath	RP02	AirknightParshath1	Fairy/Effect	Light	5	1900	1400	H		If this card attacks a Defense Position monster, inflict piercing Battle Damage to your opponent. When this card inflicts Battle Damage to your opponent: Draw 1 card.
Alien Ammonite	CRMS	AlienAmmonite	Reptile/Tuner/Effect	Light	1	500	200			When this card is Normal Summoned, you can Special Summon 1 Level 4 or lower "Alien" monster from your Graveyard. The monster Special Summoned by this effect is destroyed during the End Phase.
Alien Dog	RGBT	AlienDog	Reptile/Effect	Light	3	1500	1000			When you Normal Summon an "Alien" monster, you can Special Summon this card from your hand. When you do, place 2 A-Counters on face-up monster(s) your opponent controls.
Alien Kid	CRMS	AlienKid	Reptile/Effect	Light	4	1600	700			Place 1 A-Counter on all monsters Special Summoned to your opponent's side of the field. (If a monster with an A-Counter battles an "Alien" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.)
Alien Mother	CP08	AlienMother	Reptile/Effect	Dark	6	2300	1500			If this card destroys a monster with an A-Counter by battle and sends it to the Graveyard, Special Summon the destroyed monster to your side of the field at the end of the Battle Phase. When this card is removed from the field, all monsters that were Special Summoned by this card's effect are destroyed.
Alien Overlord	CRMS	AlienOverlord	Reptile/Effect	Dark	6	2200	1600			You can remove 2 A-Counters from anywhere on the field to Special Summon this card from your hand. Once per turn, you can place 1 A-Counter on each face-up monster your opponent controls. (If a monster with an A-Counter battles an "Alien" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.) You can only control 1 "Alien Overlord".
Alien Warrior	CP08	AlienWarrior	Reptile/Effect	Earth	4	1800	1000			When this card is destroyed by battle and sent to the Graveyard, place 2 A-Counters on the monster that destroyed it. (If a monster with an A-Counter battles an "Alien" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.)
Allure of Darkness	RGBT	AllureofDarkness	Normal Spell						A1/T1	Draw 2 cards, then remove from play 1 DARK monster from your hand. If you don't have any DARK monsters in your hand to remove, send all cards in your hand to the Graveyard.
Ally of Justice Catastor	HA01	AllyofJusticeCatastor1	Machine/Synchro/Effect	Dark	5	2200	1200			If this card attacks or is attacked by a non-DARK monster, destroy that monster at the start of the Damage Step (without damage calculation).
Ally of Justice Clausolas	HA01	AllyofJusticeClausolas	Machine	Dark	6	2300	1200			A mighty monster in Mist Valley, and the ultimate weapon designed from Claiomh Solias. Its surprise attacks from above baffle invaders.
Ally of Justice Garadholg	HA01	AllyofJusticeGaradholg	Machine/Effect	Dark	4	1600	400			If this card battles a LIGHT monster, it gains 200 ATK during the Damage Step only.
