Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
3-Hump Lacooda	AST	3HumpLacooda	Beast/Effect	Earth	3	500	1500			If there are 3 face-up "3-Hump Lacooda" cards on your side of the field, Tribute 2 of them to draw 3 cards.
4-Starred Ladybug of Doom	DB1	4StarredLadybugofDoom1	Insect/Effect	Wind	3	800	1200			FLIP: Destroy all face-up Level 4 monsters on your opponent's side of the field.
7	AST	7	Continuous Spell							When there are 3 face-up "7" cards on your side of the field, draw 3 cards from your Deck. Then destroy all "7" cards. When this card is sent directly from the field to your Graveyard, increase your Life Points by 700 points.
A Hero Emerges	IOC	AHeroEmerges2	Normal Trap							When an opponent's monster declares attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the Graveyard.
A Legendary Ocean	HL1	ALegendaryOcean	Field Spell							This card's name is treated as "Umi". Downgrade all WATER monsters in both player's hands and on the field by 1 Level. Increases the ATK and DEF of all WATER monsters by 200 points.
A-Team Trap Disposal Unit	RDS	ATeamTrapDisposalUnit	Machine/Effect	Fire	2	300	400			This effect may be used during either's players turn. When you opponent activates a Trap Card, Tribute this face-up card to negate the activation of the Trap Card and destroy it.
Absolute End	SOD	AbsoluteEnd	Normal Trap							Activate only during your opponent's turn. This turn, the attacks from your opponent's monsters become direct attacks.
Absorbing Kid from the Sky	AST	AbsorbingKidfromtheSky	Fairy/Effect	Light	4	1300	1000			When this card destroys a monster and sends it to the Graveyard as a result of battle, increase your Life Points by the Level of the destroyed monster x 300 points.
Abyss Soldier	CMC	AbyssSoldier1	Aqua/Effect	Water	4	1800	1300			Once per turn, by discarding 1 WATER monster to the Graveyard, return 1 card on the field to its owner's hand.
Abyssal Designator	SOD	AbyssalDesignator	Normal Spell							Pay 1000 Life Points. Declare a Type and an Attribute. Your opponent must send 1 monster with both the declared Type and Attribute from their hand or Deck to the Graveyard.
Amazoness Archer	DB1	AmazonessArcher	Warrior/Effect	Earth	4	1400	1000			You can Tribute 2 monsters to inflict 1200 damage to your opponent.
Ameba	DB1	Ameba	Aqua/Effect	Water	1	300	350			When the control of this face-up card on the field shifts to your opponent, inflict 2000 damage to your opponent. This effect can only be used once as long as this card remains face-up on the field.
Amphibian Beast	DB1	AmphibianBeast1	Fish	Water	6	2400	2000			On land or in sea, the speed of this monster is unmatchable.
Amphibious Bugroth MK-3	IOC	AmphibiousBugrothMK3	Machine/Effect	Water	4	1500	1300			As long as "Umi" remains face-up on the field, this card can attack your opponent directly.
Amplifier	AST	Amplifier	Equip Spell							Equip only to "Jinzo". While this card is equipped, the equipped monster's effect does not negate the effects of its controller's Trap Cards. When this card is removed from the field, destroy the equipped monster. This card's activation and effect cannot be negated.
Andro Sphinx	EP1	AndroSphinx	Beast/Effect	Light	10	3000	2500			You can pay 500 Life Points to Special Summon this card when "Pyramid of Light" is on the field. This card cannot attack during the turn it is Normal Summoned or Special Summoned. This card cannot be Special Summoned from the Graveyard. If this card destroys a Defense Position monster as a result of battle, inflict damage to your opponent's Life Points equal to half of the ATK of the destroyed monster.
Anti-Aircraft Flower	IOC	AntiAircraftFlower	Plant/Effect	Earth	3	0	1600			By Tributing 1 Insect-Type monster on your side of the field inflict 800 points of damage to your opponent's Life Points.
Aqua Chorus	PCK	AquaChorus	Continuous Trap							If there are monsters with the same name on the field, increase the ATK and DEF of all of those monsters with the same name by 500 points.
Aqua Madoor	DB1	AquaMadoor1	Spellcaster	Water	4	1200	2000			A wizard of the waters that conjures a liquid wall to crush any enemies that oppose him.
Arcane Archer of the Forest	AST	ArcaneArcheroftheForest	Warrior/Effect	Earth	3	900	1400			While there is a Plant-Type monster on your side of the field, this card cannot be attacked. By Tributing 1 Plant-Type monster on your side of the field, destroy 1 Spell or Trap Card on the field.
Archlord Zerato	AST	ArchlordZerato	Fairy/Effect	Light	8	2800	2300			This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing 1 face-up "Warrior of Zera" on your side of the field while "The Sanctuary in the Sky" is on the field. If "The Sanctuary in the Sky" is on your side of the field, by discarding 1 LIGHT Monster Card from your hand to the Graveyard, destroy all monsters on your opponent's side of the field. If "The Sanctuary in the Sky" is not on your side of the field, this effect is not applied.
Armed Dragon LV3	SOD	ArmedDragonLV31	Dragon/Effect	Wind	3	1200	900			During your Standby Phase: You can send this face-up card from the field to the Graveyard; Special Summon 1 "Armed Dragon LV5" from your hand or Deck.
Armed Dragon LV5	SOD	ArmedDragonLV51	Dragon/Effect	Wind	5	2400	1700			You can send 1 monster from your hand to the Graveyard to target 1 face-up monster your opponent controls with ATK less than or equal to the sent monster's ATK; destroy that target. During the End Phase, if this card destroyed a monster by battle this turn: You can send this face-up card to the Graveyard; Special Summon 1 "Armed Dragon LV7" from your hand or Deck.
Armed Dragon LV7	SOD	ArmedDragonLV71	Dragon/Effect	Wind	7	2800	1000			Cannot be Normal Summoned/Set. Must be Special Summoned by "Armed Dragon LV5", and cannot be Special Summoned by other ways. You can send 1 monster from your hand to the Graveyard; destroy all face-up monsters your opponent controls with ATK less than or equal to the sent monster's ATK.
Armed Ninja	DB1	ArmedNinja	Warrior/Effect	Earth	1	300	300			FLIP: Select 1 Spell Card on the field and destroy it. If the selected card is Set, pick up and see the card. If it is a Spell Card, it is destroyed. If it is a Trap Card, return it to its original position.
Armor Break	AST	ArmorBreak	Counter Trap							Negate the activation of an Equip Spell card and destroy it.
Armored Lizard	DB1	ArmoredLizard	Reptile	Earth	4	1500	1200			A lizard with a very tough hide and a vicious bite.
Armored Zombie	DB1	ArmoredZombie	Zombie	Dark	3	1500	0			This warrior blindly swings a deadly blade with devastating force.
Astral Barrier	RDS	AstralBarrier	Continuous Trap							If your opponent's monster attacks a monster on your side of the field, you can make the attack a direct attack to your Life Points.
Aswan Apparition	AST	AswanApparition	Fiend/Effect	Dark	3	500	500			When this card inflicts Battle Damage to your opponent's Life Points, you can return 1 Trap Card from your Graveyard to the top of your Deck.
Atomic Firefly	AST	AtomicFirefly	Insect/Effect	Light	1	100	200			When this face-up card on the field attacks or is attacked and it is destroyed by battle, the player who destroyed it takes 1000 points of damage
Attack And Receive	DB1	AttackAndReceive	Normal Trap							You can only activate this card when you take damage to your Life Points. Inflict 700 points of damage to your opponent's Life Points. Also, inflict 300 points of damage to your opponent's Life Points for each "Attack and Receive" card in your Graveyard.
Avatar of The Pot	AST	AvatarofThePot	Rock/Effect	Earth	3	1200	1300			Send 1 "Pot of Greed" from your hand to the Graveyard to draw 3 cards from your Deck.
Axe of Despair	DB1	AxeofDespair1	Equip Spell					D		The equipped monster gains 1000 ATK. When this card is sent from the field to the Graveyard: You can Tribute 1 monster; return this card to the top of the Deck.
Axe of Despair	SYE	AxeofDespair1	Equip Spell					D		The equipped monster gains 1000 ATK. When this card is sent from the field to the Graveyard: You can Tribute 1 monster; return this card to the top of the Deck.
B. Skull Dragon	BPT	BSkullDragon	Dragon/Fusion	Dark	9	3200	2500			Summoned Skull + "Red-Eyes B. Dragon"
B. Skull Dragon	DB1	BSkullDragon	Dragon/Fusion	Dark	9	3200	2500			Summoned Skull + "Red-Eyes B. Dragon"
Back to Square One	RDS	BacktoSquareOne	Normal Spell							Discard 1 card from your hand. Return 1 monster on the field to the top of the owner's Deck.
Backfire	AST	Backfire	Continuous Trap							When a FIRE monster on your side of the field is destroyed and sent to the Graveyard, inflict 500 damage to your opponent.
Backup Soldier	DB1	BackupSoldier	Normal Trap							Activate only if there are 5 or more monsters in your Graveyard. Add up to 3 non-Effect Monsters with 1500 or less ATK from your Graveyard to your hand.
Backup Soldier	SYE	BackupSoldier	Normal Trap							Activate only if there are 5 or more monsters in your Graveyard. Add up to 3 non-Effect Monsters with 1500 or less ATK from your Graveyard to your hand.
Ballista of Rampart Smashing	RDS	BallistaofRampartSmashing	Equip Spell							If a monster equipped with this card attacks a face-down Defense Position monster, increase the ATK of the equipped monster by 1500 points.
Balloon Lizard	IOC	BalloonLizard	Reptile/Effect	Earth	4	500	1900			Put 1 counter on this card during each of your Stanby Phases. When this card is destroyed, inflict damage equal to the number of counters x 400 points to the controller of the card that destroyed this card.
Banisher of the Light	DB1	BanisheroftheLight1	Fairy/Effect	Light	3	100	2000			Any card sent to the Graveyard is banished instead.
Barrel Dragon	MC1	BarrelDragon	Machine/Effect	Dark	7	2600	2200			Toss a coin 3 times. If 2 out of 3 results are Heads, destroy 1 monster on your opponent's side of the Field. This card can only be used during your turn, once per turn.
Battle Ox	SKE	BattleOx	Beast-Warrior	Earth	4	1700	1000			A monster with tremendous power, it destroys enemies with a swing of its axe.
Bazoo the Soul-Eater	TP5	BazootheSoulEater1	Beast/Effect	Earth	4	1600	900	H		Once per turn: You can banish up to 3 monsters from your Graveyard; this card gains 300 ATK for each, until your opponent's End Phase.
Beastking of the Swamps	TP5	BeastkingoftheSwamps	Aqua/Effect	Water	4	1000	1100			You can substitute this card for any 1 Fusion-Material Monster. When you do this, the other Fusion-Material Monster(s) must be the correct one(s).
Beaver Warrior	DB1	BeaverWarrior	Beast-Warrior	Earth	4	1200	1500			What this creature lacks in size it makes up for in defense when battling in the prairie.
Beaver Warrior	SYE	BeaverWarrior	Beast-Warrior	Earth	4	1200	1500			What this creature lacks in size it makes up for in defense when battling in the prairie.
Beckoning Light	AST	BeckoningLight1	Normal Trap							Discard your entire hand, then for each card you discarded to the Graveyard by this effect, add 1 LIGHT monster from your Graveyard to your hand.
