Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
Atlantean Pikeman	5DS1	AtlanteanPikeman	Sea Serpent	Water	2	1400	0			The Great Ocean Lord, who reigns over the depths, is served by these lancers. Deep-sea creatures exist in fear of facing the stream of attacks their lances are capable of.
Axe Raider	5DS1	AxeRaider	Warrior	Earth	4	1700	1150			An axe-wielding monster of tremendous strength and agility.
Backup Soldier	5DS1	BackupSoldier	Normal Trap							Activate only if there are 5 or more monsters in your Graveyard. Add up to 3 non-Effect Monsters with 1500 or less ATK from your Graveyard to your hand.
Birthright	5DS1	Birthright	Continuous Trap							Select 1 Normal Monster from your Graveyard and Special Summon it in face-up Attack Position. When this card is removed from the field, destroy that monster. When that monster is removed from the field, destroy this card.
Colossal Fighter	5DS1	ColossalFighter	Warrior/Synchro/Effect	Dark	8	2800	1000			1 Tuner + 1 or more non-Tuner monsters This card gains 100 ATK for every Warrior-Type monster in any Graveyard. When this card is destroyed by battle and sent to the Graveyard, Special Summon 1 Warrior-Type monster from either player's Graveyard.
Double Summon	5DS1	DoubleSummon	Normal Spell							You can Normal Summon 1 additional time this turn. You can only gain this effect once per turn.
Frequency Magician	5DS1	FrequencyMagician	Spellcaster/Tuner/Effect	Light	2	800	400			When this card is Normal Summoned, place 1 Spell Counter on it (max. 1). You can remove 1 Spell Counter from this card to have 1 face-up monster you control gain 500 ATK, until the End Phase.
Gaia Knight, the Force of Earth	5DS1	GaiaKnighttheForceofEarth	Warrior/Synchro	Earth	6	2600	800			1 Tuner + 1 or more non-Tuner monsters
Junk Synchron	5DS1	JunkSynchron	Warrior/Tuner/Effect	Dark	3	1300	500			When this card is Normal Summoned, you can Special Summon 1 Level 2 or lower monster from your Graveyard in face-up Defense Position. That monster's effect(s) is negated.
Magna Drago	5DS1	MagnaDrago	Dragon/Tuner/Effect	Fire	2	1400	600			Each time this card inflicts Battle Damage to your opponent, it gains 200 ATK.
Marauding Captain	5DS1	MaraudingCaptain	Warrior/Effect	Earth	3	1200	400			Your opponent cannot select another Warrior-Type monster you control as an attack target. When this card is Normal Summoned, you can Special Summon 1 Level 4 or lower monster from your hand.
Renge, Gatekeeper of Dark World	5DS1	RengeGatekeeperofDarkWorld	Fiend	Dark	4	100	2100			His renowned Olympic physique has made him famous with the populace of Dark World. They call him "Iron Wall Renge" because no one can break through his incredible defense.
Scrap-Iron Scarecrow	5DS1	ScrapIronScarecrow	Normal Trap							Activate only when an opponent's monster declares an attack. Negate the attack and Set this card face-down again instead of sending it to the Graveyard.
Sonic Chick	5DS1	SonicChick	Winged Beast/Effect	Earth	1	300	300			This card cannot be destroyed by battle with a monster that has 1900 ATK or more.
Speed Warrior	5DS1	SpeedWarrior	Warrior/Effect	Wind	2	900	400			During the Battle Phase of the turn you Normal Summon this card, you can double its original ATK until the end of the Battle Phase.
Spiral Serpent	5DS1	SpiralSerpent	Sea Serpent	Water	8	2900	2900			When huge whirlpools lay cities asunder, it is the hunger of this sea serpent at work. No one has ever escaped its dreaded Spiral Wave to accurately describe the terror they experienced.
Symbols of Duty	5DS1	SymbolsofDuty	Equip Spell							Send 1 Normal Monster you control to the Graveyard. Select and Special Summon 1 monster from either Graveyard and equip it with this card. When this card is removed from the field, destroy the equipped monster.
Synchro Blast Wave	5DS1	SynchroBlastWave	Normal Spell							Activate only while you control a face-up Synchro Monster. Destroy 1 monster your opponent controls.
Synchro Boost	5DS1	SynchroBoost	Equip Spell							The equipped monster gains 500 ATK, and its Level is increased by 1.
Synchronized Realm	5DS1	SynchronizedRealm	Continuous Spell							Each time you Synchro Summon a Synchro Monster, inflict 500 damage to your opponent.
Tune Warrior	5DS1	TuneWarrior	Warrior/Tuner	Earth	3	1600	200			The warrior's antenna can attune it to any energy wave. It can monitor transmissions from miles away but always suffers from bad reception.
Twister	5DS1	Twister	Quick-Play Spell							Pay 500 Life Points. Destroy 1 face-up Spell or Trap card.
Water Spirit	5DS1	WaterSpirit	Aqua/Tuner	Water	1	400	1200			This ancient water spirit haunts the glacial monoliths of Antarctica. It has the power to seep into the pores of any substance and chill it to the bone.
Woodborg Inpachi	5DS1	WoodborgInpachi	Machine	Fire	5	500	2500			The new form of the enigmatic Inpachi, remodeled by cutting-edge Dark World technology. Maneuverability has been sacrificed for strong armor, which was considered more important.
Cyber-Tech Alligator	5DS2	CyberTechAlligator	Machine	Wind	5	2500	1600			Originally a pterodactyl, he was viciously attacked by a dragon. Using the newest technologies, his keeper saved him from near-fatal wounds and brought him back as a powerful cyborg.
Des Koala	5DS2	DesKoala	Beast/Effect	Dark	3	1100	1800			FLIP: Inflict 400 points of Direct Damage to your opponent's Life Points for each card in your opponent's hand.
De-Synchro	5DS2	DeSynchro	Normal Spell							Select 1 face-up Synchro Monster. Return it to its owner's Extra Deck. Then, if all the monsters that were used for the Synchro Summon of that monster are in your Graveyard, you can Special Summon them.
Gogiga Gagagigo	5DS2	GogigaGagagigo	Reptile	Water	8	2950	2800			His soul long-since collapsed, his body recklessly continues onward, driven by a lust for more power. He no longer resembles his former self.
Gottoms' Emergency Call	5DS2	GottomsEmergencyCall	Normal Trap							Activate only if there is a face-up "X-Saber" monster(s) on the field. Select 2 "X-Saber" monsters in either player's Graveyard(s). Special Summon those monsters to your side of the field.
Junk Warrior	5DS2	JunkWarrior	Warrior/Synchro/Effect	Dark	5	2300	1300			Junk Synchron + 1 or more non-Tuner monsters When this card is Synchro Summoned, it gains ATK equal to the total ATK of all Level 2 and lower monsters on the field.
Limit Reverse	5DS2	LimitReverse	Continuous Trap							Select 1 monster with an ATK of 1000 or less from your Graveyard and Special Summon it in Attack Position. When a monster Special Summoned by this effect is switched to Defense Position, destroy this card and the monster. If this card is removed from the field, destroy the monster. If that monster is destroyed, destroy this card.
Powered Tuner	5DS2	PoweredTuner	Dragon/Effect	Water	4	1400	1000			This card gains 500 ATK for each face-up Tuner Monster on the field.
Pride of the Weak	5DS2	PrideoftheWeak	Continuous Spell							When a Level 2 or lower monster you control destroys an opponent's monster by battle and sends it to the Graveyard, if you have no cards in your hand, draw 2 cards.
Road Synchron	5DS2	RoadSynchron	Machine/Tuner/Effect	Light	4	1600	800			If this card is used for the Synchro Summon of a monster other than "Road Warrior", its Level is reduced by 2. If this card attacks, at the end of the Damage Step, increase its Level by 1 until the End Phase.
Road Warrior	5DS2	RoadWarrior	Warrior/Synchro/Effect	Light	8	3000	1500			Road Synchron + 2 or more non-Tuner monsters Once per turn, you can Special Summon 1 Level 2 or lower Warrior-Type or Machine-Type monster from your Deck.
Saber Beetle	5DS2	SaberBeetle	Insect/Effect	Earth	6	2400	600			During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent's Life Points.
Sabersaurus	5DS2	Sabersaurus	Dinosaur	Earth	4	1900	500			This normally gentle dinosaur enjoys relaxing in its nest in the prairies. If it becomes angered, it turns terribly ferocious.
Sasuke Samurai	5DS2	SasukeSamurai	Warrior/Effect	Wind	2	500	800			When this monster attacks a face-down Defense Position monster, destroy the face-down monster immediately with this card's effect without flipping it face-up or damage calculation.
Skelengel	5DS2	Skelengel	Fairy/Effect	Light	2	900	400			FLIP: Draw 1 card from your Deck.
The Dragon Dwelling In The Cave	5DS2	TheDragonDwellingInTheCave	Dragon	Wind	4	1300	2000			A huge dragon dwelling in a cave. It is horrible when it gets angry, although it is usually quiet. It is said to preserve certain treasures.
Unstable Evolution	5DS2	UnstableEvolution	Equip Spell							While your Life Points are lower than your opponent's, the equipped monster's original ATK becomes 2400. While your Life Points are higher than your opponent's, its original ATK becomes 1000.
Widespread Ruin	5DS2	WidespreadRuin	Normal Trap							Activate only when your opponent's monster declares an attack. Destroy 1 Attack Position monster your opponent controls with the highest ATK. (If it's a tie, you get to choose.)
X-Saber Airbellum	5DS2	XSaberAirbellum	Beast/Tuner/Effect	Earth	3	1600	200			When this card inflicts Battle Damage to your opponent by a direct attack, discard 1 random card from your opponent's hand.
X-Saber Anu Piranha	5DS2	XSaberAnuPiranha	Warrior	Earth	4	1800	1100			A female X-Saber Warrior, known for her graceful attacks and calm decision making in battle. Her ambition is merciless, and strikes fear in the hearts of her enemies.
X-Saber Galahad	5DS2	XSaberGalahad	Warrior/Effect	Earth	4	1800	800			If this card attacks an opponent's monster, this card gains 300 ATK during the Damage Step only. If this card is attacked by an opponent's monster, this card loses 500 ATK during the Damage Step only. When this card is selected as an attack target, you can Tribute another "Saber" monster to negate the attack.
X-Saber Urbellum	5DS2	XSaberUrbellum	Warrior/Synchro/Effect	Earth	7	2200	1300			1 Tuner + 1 or more non-Tuner monsters When this card inflicts Battle Damage to your opponent, if your opponent has 4 or more cards in their hand, place 1 random card from their hand on top of their Deck.
Junk Destroyer	5DS3	JunkDestroyer	Warrior/Synchro/Effect	Earth	8	2600	2500			Junk Synchron + 1 or more non-Tuner monsters. When this card is Synchro Summoned, you can select and destroy cards on the field, up to the number of non-Tuner monsters used as Synchro Material Monsters for this card.
Rapid Warrior	5DS3	RapidWarrior	Warrior/Effect	Wind	4	1200	200			During your Main Phase 1, you can activate this card's effect. If you do, it can attack your opponent directly this turn. Other monsters cannot attack during the turn your activate this effect.
Synchron Explorer	5DS3	SynchronExplorer	Machine/Effect	Earth	2	0	700			When this card is Normal Summoned, you can select 1 "Synchron" monster in your Graveyard and Special Summon it. Its effects are negated.
Wild Tornado	5DS3	WildTornado	Normal Trap							Select 1 face-up card in the Spell & Trap Card Zones and destroy it. The controller of the destroyed card can then Set 1 Spell or Trap Card from their hand. If this Set card is destroyed and sent to the Graveyard, select and destroy 1 face-up card on the field.
X-Saber Wayne	5DS3	XSaberWayne	Warrior/Synchro/Effect	Earth	5	2100	400			1 Tuner + 1 or more non-Tuner monsters. When this card is Synchro Summoned, you can Special Summon 1 Level 4 or lower Warrior-Type monster from your hand.
Advance Force	ABPF	AdvanceForce	Continuous Spell							You can Tribute 1 Level 5 or higher monster to Tribute Summon a Level 7 or higher monster.
Alchemist of Black Spells	ABPF	AlchemistofBlackSpells	Spellcaster/Effect	Wind	4	1200	1800			Once per turn, you can change this face-up Attack Position card you control to face-up Defense Position and place 1 Spell Counter on a face-up card you control that you can place a Spell Counter on.
Alien Brain	ABPF	AlienBrain	Normal Trap							Activate only when a Reptile-Type monster you control is destroyed by battle with an opponent's attacking monster and sent to the Graveyard. Take control of the attacking monster, and treat it as a Reptile-Type monster.
Apocatequil	ABPF	Apocatequil	Thunder/Effect	Light	4	1800	1200			While this card is face-up on the field, it is Level 5 if you control a face-up Tuner Monster. When this card on the field is destroyed and sent to the Graveyard, you can select and Special Summon 1 "Oracle of the Sun" from your Graveyard.
Ascending Soul	ABPF	AscendingSoul	Continuous Spell							Once per turn, when a Ritual Monster is Ritual Summoned, you can select and add to your hand 1 monster in your Graveyard that was Tributed for the Ritual Summon.
Bicular	ABPF	Bicular	Machine/Effect	Earth	2	200	200			When this card is destroyed by battle, you can Special Summon 1 "Unicycular" from your hand or Deck.
Black Potan	ABPF	BlackPotan	Fiend/Effect	Dark	1	200	100			If you control a face-up Tuner monster, this card cannot be destroyed by battle. When a face-up Tuner monster(s) you control is removed from the field, gain 800 Life Points.
Break! Draw!	ABPF	BreakDraw	Equip Spell							Equip only to a Machine-Type monster. When the equipped monster destroys an opponent's monster by battle and sends it to the Graveyard, draw 1 card. Destroy this card during your 3rd End Phase after activation.
Cactus Bouncer	ABPF	CactusBouncer	Plant/Effect	Earth	4	1800	300			This card cannot be Special Summoned. While a Plant-Type monster other than this card is face-up on the field, neither player can Special Summon monsters.
Call of the Reaper	ABPF	CalloftheReaper	Normal Trap							Activate only when a monster(s) is Special Summoned from your Graveyard. Select and Special Summon 1 "Supay" or 1 "Fire Ant Ascator" from your Graveyard.
Cards of Consonance	ABPF	CardsofConsonance	Normal Spell							Discard 1 Dragon-Type Tuner monster with 1000 or less ATK to draw 2 cards.
Codarus	ABPF	Codarus	Sea Serpent/Effect	Water	4	1400	1200			You can send 1 face-up "Umi" you control to the Graveyard to select up to 2 cards your opponent controls and send them to the Graveyard.
Consecrated Light	ABPF	ConsecratedLight	Fairy/Effect	Light	1	0	0			Neither player can Normal or Special Summon DARK monsters or declare an attack with a DARK monster. This card cannot be destroyed by battle with a DARK monster, and you take no Battle Damage from that battle.
Core Blast	ABPF	CoreBlast	Continuous Trap							You can only activate this card's effect while you control a face-up "Koa'ki Meiru" monster. Once per turn, during your Standby Phase, if your opponent controls more monsters than you do, you can destroy a number of cards your opponent controls so that your opponent will control the same number of cards as you control monsters.
Core Transport Unit	ABPF	CoreTransportUnit	Continuous Spell							Once per turn, you can discard 1 card to add 1 "Iron Core of Koa'ki Meiru" from your Deck to your hand.
Cyber Dragon Zwei	ABPF	CyberDragonZwei	Machine/Effect	Light	4	1500	1000			If this card attacks an opponent's monster, this card gains 300 ATK during the Damage Step only. Once per turn, you can reveal 1 Spell Card in your hand to treat this card's name as "Cyber Dragon" until the End Phase. This card's name is treated as "Cyber Dragon" while in the Graveyard.
Dark Bug	ABPF	DarkBug	Insect/Effect	Dark	1	100	100			When this card is Normal Summoned, select and Special Summon 1 Level 3 Tuner monster from your Graveyard. The effect(s) of that monster is negated.
Destruct Potion	ABPF	DestructPotion	Normal Trap							Select 1 monster you control. Destroy it, and gain Life Points equal to its ATK.
Djinn Cursenchanter of Rituals	ABPF	DjinnCursenchanterofRituals	Fiend/Effect	Dark	4	1700	1000			When you Ritual Summon a Ritual Monster, you can remove from play this card from your Graveyard as 1 of the monsters required for the Ritual Summon. While the Ritual Monster this card was used in the Ritual Summon for is face-up on the field, negate the effect(s) of Synchro Monsters.
Djinn Disserere of Rituals	ABPF	DjinnDisserereofRituals	Fiend/Effect	Dark	1	200	200			When you Ritual Summon a Ritual Monster, you can remove from play this card from your Graveyard as 1 of the monsters required for the Ritual Summon. The monster Ritual Summoned using this card is not affected by Trap Cards.
Djinn Prognosticator of Rituals	ABPF	DjinnPrognosticatorofRituals	Fiend/Effect	Dark	3	400	300			When you Ritual Summon a Ritual Monster, you can remove from play this card from your Graveyard as 1 of the monsters required for the Ritual Summon. When the monster Ritual Summoned using this card inflicts Battle Damage to your opponent, your opponent must select and discard 1 card.
Dragon Queen of Tragic Endings	ABPF	DragonQueenofTragicEndings	Dragon/Effect	Dark	6	1900	2600			This card cannot be Normal Summoned or Set. This card can only be Special Summoned by controlling 3 or more face-up Continuous Spell Cards. When this attacking card inflicts Battle Damage to your opponent, your opponent selects and sends 1 card from their hand to the Graveyard, and you draw 1 card. During your Standby Phase, if this card is in your Graveyard and was sent there from the field, you can send 1 face-up Continuous Spell Card you control to the Graveyard to Special Summon this card from the Graveyard.
Dragonic Guard	ABPF	DragonicGuard	Dragon/Effect	Fire	4	1500	1800			Each time a monster is Normal Summoned or Set, place 1 Dragonic Counter on this card. You can send this face-up card to the Graveyard to Special Summon 1 Dragon-Type monster from your Deck whose Level is less than or equal to the number of Dragonic Counters on this card.
